entity_id	valid	rejected	polled	electors	PA	UNP	Ind 2	SMBP	Ind 1	SLPF
LK	7561526	151706	7713232	11158880	4709205	2715283	58888	32651	22752	22749
LK-1	2191923	36506	2228429	3084300	1404048	755815	7758	11621	7642	5039
LK-2	1059911	31336	1091247	1403115	610488	425771	12173	4942	3443	3094
LK-3	1033049	16856	1049905	1491360	646136	369241	5354	4686	3063	4569
LK-6	944979	15200	960179	1283393	569633	361951	5795	2828	2305	2467
EC-01	860386	16060	876446	1259484	557708	288741	2526	6059	3533	1819
LK-11	860386	16060	876446	1259484	557708	288741	2526	6059	3533	1819
EC-02	850518	13137	863655	1164625	550654	288608	3019	3694	2711	1832
LK-12	850518	13137	863655	1164625	550654	288608	3019	3694	2711	1832
LK-9	820623	14734	835357	1077229	468941	337631	6210	3279	2255	2307
EC-15	680344	10511	690855	897539	403838	266740	3999	2211	1714	1842
LK-61	680344	10511	690855	897539	403838	266740	3999	2211	1714	1842
EC-04	565117	14179	579296	744151	320110	235519	3748	2618	1752	1370
LK-21	565117	14179	579296	744151	320110	235519	3748	2618	1752	1370
LK-5	507181	8011	515192	772158	390957	101892	10781	1099	1072	1382
LK-8	483641	18070	501711	648248	279430	191637	5813	2622	1943	2196
EC-03	481019	7309	488328	660191	295686	178466	2213	1868	1398	1388
LK-13	481019	7309	488328	660191	295686	178466	2213	1868	1398	1388
EC-07	464815	7112	471927	646373	285398	173282	1885	1584	1179	1487
LK-31	464815	7112	471927	646373	285398	173282	1885	1584	1179	1487
LK-7	463272	10171	473443	622797	289053	166629	3660	1442	936	1552
EC-21	443031	7595	450626	563174	257265	177924	3451	1877	1235	1279
LK-91	443031	7595	450626	563174	257265	177924	3451	1877	1235	1279
EC-22	377592	7139	384731	514055	211676	159707	2759	1402	1020	1028
LK-92	377592	7139	384731	514055	211676	159707	2759	1402	1020	1028
EC-08	352239	5731	357970	511933	227865	118224	2055	1564	1134	1397
LK-32	352239	5731	357970	511933	227865	118224	2055	1564	1134	1397
EC-19	330772	14093	344865	445146	182810	139611	3847	1745	1387	1372
LK-81	330772	14093	344865	445146	182810	139611	3847	1745	1387	1372
EC-17	312797	6205	319002	418857	200146	107342	2534	1014	678	1083
LK-71	312797	6205	319002	418857	200146	107342	2534	1014	678	1083
EC-06	295630	11840	307470	393221	168929	116928	6314	1332	1083	1044
LK-23	295630	11840	307470	393221	168929	116928	6314	1332	1083	1044
EC-16	264635	4689	269324	385854	165795	95211	1796	617	591	625
LK-62	264635	4689	269324	385854	165795	95211	1796	617	591	625
EC-13	232581	3621	236202	319166	168289	59074	3677	471	496	574
LK-52	232581	3621	236202	319166	168289	59074	3677	471	496	574
EC-09	215995	4013	220008	333054	132873	77735	1414	1538	750	1685
LK-33	215995	4013	220008	333054	132873	77735	1414	1538	750	1685
EC-05	199164	5317	204481	265743	121449	73324	2111	992	608	680
LK-22	199164	5317	204481	265743	121449	73324	2111	992	608	680
EC-12	165779	2664	168443	264975	144725	14812	5030	349	381	484
LK-51	165779	2664	168443	264975	144725	14812	5030	349	381	484
EC-06A	155091	7412	162503	212690	94262	53949	4897	775	590	618
EC-20	152869	3977	156846	203102	96620	52026	1966	877	556	824
LK-82	152869	3977	156846	203102	96620	52026	1966	877	556	824
EC-18	150475	3966	154441	203940	88907	59287	1126	428	258	469
LK-72	150475	3966	154441	203940	88907	59287	1126	428	258	469
LK-1103	133609.0	2966.0	136577.0	202541.0	82468.0	49746.0	407.0	361.0	395.0	224.0
EC-14	108821	1726	110547	188017	77943	28006	2074	279	195	324
LK-53	108821	1726	110547	188017	77943	28006	2074	279	195	324
LK-1127	95257.0	1921.0	97180.0	145971.0	59032.0	34525.0	277.0	789.0	487.0	151.0
EC-01B	90999	2020	93019	139012	56219	33824	271	245	291	149
EC-04B	82473	1809	84282	109246	48134	33007	582	303	228	219
EC-13A	80608	1751	82359	112046	44423	34832	640	236	231	246
LK-2312	78729.0	3761.0	82489.0	107967.0	47852.0	27383.0	2488.0	390.0	302.0	315.0
LK-1136	77579.0	1159.0	78738.0	110949.0	54325.0	22130.0	209.0	459.0	270.0	177.0
EC-01N	77578	1159	78737	110948	54327	22130	210	464	268	179
LK-1109	76919.0	1446.0	78360.0	113173.0	51875.0	23473.0	243.0	597.0	518.0	205.0
EC-01J	76917	1445	78362	113173	51876	23475	241	599	521	205
LK-2315	76358.0	3653.0	80012.0	104725.0	46411.0	26563.0	2414.0	381.0	286.0	300.0
EC-02H	72302	958	73260	100416	51197	20094	215	403	246	147
LK-1224	72298.0	957.0	73262.0	100413.0	51198.0	20089.0	213.0	398.0	246.0	146.0
EC-12B	71887	1061	72948	123893	59814	9812	1685	145	239	194
EC-01O	70655	988	71643	97831	45403	24493	127	280	234	118
LK-1133	70655.0	992.0	71644.0	97829.0	45401.0	24491.0	128.0	283.0	232.0	119.0
LK-1227	70513.0	1060.0	71575.0	91900.0	51922.0	17443.0	396.0	376.0	214.0	176.0
EC-02G	70511	1065	71576	91907	51923	17437	396	374	206	175
EC-13D	70310	949	71259	97721	56780	11774	1407	114	88	147
EC-02J	69414	1064	70478	98091	46494	21935	251	311	235	188
LK-1233	69414.0	1059.0	70480.0	98091.0	46496.0	21938.0	251.0	311.0	235.0	189.0
LK-1221	69232.0	1145.0	70374.0	97305.0	44168.0	24262.0	150.0	265.0	236.0	149.0
EC-02I	69230	1141	70371	97305	44166	24260	152	266	236	150
EC-21H	68731	1252	69983	89903	44641	22425	666	465	222	312
EC-01L	68619	1102	69721	106536	45072	22369	279	444	284	171
LK-1112	68617.0	1101.0	69725.0	106533.0	45072.0	22373.0	283.0	451.0	290.0	168.0
LK-1121	68523.0	1328.0	69851.0	101317.0	47819.0	19513.0	157.0	637.0	240.0	155.0
EC-01M	68521	1328	69849	101317	47818	19514	158	638	240	153
EC-02C	68303	864	69167	92027	42916	24637	251	184	187	128
LK-1206	68298.0	863.0	69166.0	92027.0	42918.0	24637.0	253.0	181.0	185.0	127.0
EC-09D	67168	1432	68600	106669	42523	23102	390	478	197	478
EC-02F	65785	892	66677	89192	42041	22839	252	299	233	121
LK-1215	65785.0	895.0	66672.0	89197.0	42041.0	22845.0	250.0	300.0	231.0	125.0
EC-03B	65100	929	66029	86676	40503	23655	315	263	187	177
EC-21B	65042	996	66038	83492	38221	25858	435	225	162	141
