entity_id	valid	rejected	polled	electors	UNP	SLFP	JVP	LSSP	ACTC	NSSP
LK	6520156	80470	6600626	8235358	3450815	2546348	273428	58531	173934	16995
LK-1	1872770	19272	1892042	2349834	1013729	762158	66780	22103	3999	4001
LK-3	952399	10093	962492	1172164	466814	401914	71914	8839	1174	1744
LK-6	837958	7426	845384	997409	474646	328485	28836	3634	1326	1031
LK-2	818880	8010	826890	940400	492669	295039	24231	4323	1373	1245
EC-01	754031	7990	762021	991194	436290	274476	28580	9655	3022	2008
LK-11	754031	7990	762021	991194	436290	274476	28580	9655	3022	2008
EC-02	696847	5992	702839	849896	365847	301808	23701	3835	534	1122
LK-12	696847	5992	702839	849896	365847	301808	23701	3835	534	1122
LK-9	688366	7944	696310	818269	371347	279044	24989	8180	798	4008
EC-15	619978	5431	625409	727202	345769	248479	21835	2594	509	792
LK-61	619978	5431	625409	727202	345769	248479	21835	2594	509	792
EC-04	484297	4548	488845	546565	289621	178647	12493	2256	562	718
LK-21	484297	4548	488845	546565	289621	178647	12493	2256	562	718
EC-03	421892	5290	427182	508744	211592	185874	14499	8613	443	871
LK-13	421892	5290	427182	508744	211592	185874	14499	8613	443	871
EC-07	421138	5198	426336	520909	211544	180925	20962	6391	425	891
LK-31	421138	5198	426336	520909	211544	180925	20962	6391	425	891
LK-5	374642	6775	381417	515062	184388	106484	14361	2896	65242	1271
EC-21	345604	3407	349011	406275	175903	152506	11283	1996	422	3494
LK-91	345604	3407	349011	406275	175903	152506	11283	1996	422	3494
LK-8	344261	4535	348796	412600	192326	132577	14884	2997	788	689
EC-22	342762	4537	347299	411994	195444	126538	13706	6184	376	514
LK-92	342762	4537	347299	411994	195444	126538	13706	6184	376	514
LK-7	342138	3358	345496	410840	177287	140216	22049	1599	450	537
EC-08	333983	3091	337074	406595	164725	144587	22117	1571	474	509
LK-32	333983	3091	337074	406595	164725	144587	22117	1571	474	509
LK-4	288742	13057	301799	618780	77609	100431	5384	3960	98784	2469
EC-19	240440	2982	243422	284801	141062	88462	7713	2115	625	463
LK-81	240440	2982	243422	284801	141062	88462	7713	2115	625	463
EC-17	236523	2294	238817	282018	117873	102973	13911	1148	222	396
LK-71	236523	2294	238817	282018	117873	102973	13911	1148	222	396
EC-10	218003	10610	228613	498545	44775	77210	3098	3376	87263	2176
EC-16	217980	1995	219975	270207	128877	80006	7001	1040	817	239
LK-62	217980	1995	219975	270207	128877	80006	7001	1040	817	239
EC-09	197278	1804	199082	244660	90545	76402	28835	877	275	344
LK-33	197278	1804	199082	244660	90545	76402	28835	877	275	344
LK-41	195274	9400	204674	453932	39906	71591	2799	3085	75843	1945
EC-06	172769	2048	174817	203968	109017	57093	4569	1201	558	331
LK-23	172769	2048	174817	203968	109017	57093	4569	1201	558	331
EC-05	161814	1414	163228	189867	94031	59299	7169	866	253	196
LK-22	161814	1414	163228	189867	94031	59299	7169	866	253	196
EC-13	160970	2101	163071	205838	90772	53096	7679	967	8079	377
LK-52	160970	2101	163071	205838	90772	53096	7679	967	8079	377
LK-1103	136427.0	1313.0	137743.0	184987.0	97725.0	32701.0	3763.0	775.0	1287.0	170.0
EC-12	120076	2879	122955	174276	48094	21688	1287	1294	47095	618
LK-51	120076	2879	122955	174276	48094	21688	1287	1294	47095	618
EC-18	105615	1064	106679	128822	59414	37243	8138	451	228	141
LK-72	105615	1064	106679	128822	59414	37243	8138	451	228	141
EC-20	103821	1553	105374	127799	51264	44115	7171	882	163	226
LK-82	103821	1553	105374	127799	51264	44115	7171	882	163	226
LK-1127	97784.0	1045.0	98829.0	136258.0	64866.0	26963.0	2986.0	1633.0	973.0	360.0
EC-01B	93863	740	94603	127452	68346	22061	2121	415	810	110
EC-14	93596	1795	95391	134948	45522	31700	5395	635	10068	276
LK-53	93596	1795	95391	134948	45522	31700	5395	635	10068	276
EC-06A	71006	950	71956	86487	49414	18543	1892	632	380	145
EC-11	70739	2447	73186	120235	32834	23221	2286	584	11521	293
EC-04B	70224	605	70829	82590	43186	23301	3374	230	42	91
EC-02H	58789	517	59306	72371	27845	28532	1942	336	33	101
LK-1224	58788.0	521.0	59303.0	72371.0	27841.0	28535.0	1945.0	332.0	12.0	108.0
EC-01O	58782	707	59489	80297	32096	22744	2625	1137	43	137
LK-1133	58779.0	707.0	59487.0	80296.0	32095.0	22743.0	2626.0	1138.0	46.0	139.0
LK-1212	58032.0	480.0	58504.0	70699.0	30284.0	24142.0	3186.0	313.0	1.0	47.0
EC-02E	58030	478	58508	70695	30289	24143	3186	316	29	67
LK-1215	57871.0	403.0	58273.0	69568.0	29673.0	25850.0	1992.0	263.0	1.0	71.0
EC-02F	57870	399	58269	69566	29672	25849	1992	260	27	70
EC-01J	57297	719	58016	73006	27963	25275	3338	569	33	119
LK-1109	57297.0	720.0	58018.0	73008.0	27960.0	25275.0	3341.0	571.0	34.0	115.0
LK-2130	57198.0	480.0	57683.0	73188.0	35834.0	19714.0	1033.0	347.0	97.0	174.0
LK-1227	56322.0	425.0	56745.0	67060.0	22532.0	31492.0	1935.0	265.0	2.0	42.0
EC-02G	56321	430	56751	67061	22531	31495	1926	272	32	65
EC-02K	56088	519	56607	66207	26573	27508	1670	247	33	57
LK-1230	56087.0	520.0	56604.0	66213.0	26574.0	27516.0	1668.0	249.0	4.0	37.0
LK-1221	55713.0	490.0	56195.0	69623.0	32421.0	21074.0	1677.0	347.0	28.0	156.0
EC-02I	55709	488	56197	69624	32420	21074	1683	346	29	157
LK-1136	55408.0	529.0	55940.0	71002.0	25572.0	26553.0	2245.0	851.0	21.0	149.0
EC-01N	55407	530	55937	71002	25576	26553	2248	851	29	150
EC-12B	54727	1120	55847	80394	24220	9922	580	438	19338	229
EC-03B	54560	628	55188	65013	26631	25500	1583	730	35	81
LK-1121	54526.0	592.0	55115.0	71596.0	26970.0	23873.0	2598.0	947.0	31.0	116.0
EC-01M	54525	593	55118	71597	26967	23874	2595	946	27	116
EC-03A	54512	677	55189	67549	26648	23861	2011	1776	27	189
LK-1303	54511.0	671.0	55190.0	67547.0	26646.0	23865.0	2010.0	1777.0	15.0	190.0
EC-09D	54339	523	54862	69521	25656	20624	7724	212	58	65
EC-01L	54102	548	54650	68955	27981	23135	2140	591	50	205
LK-1112	54100.0	548.0	54651.0	68957.0	27981.0	23136.0	2143.0	590.0	55.0	209.0
LK-1233	53780.0	419.0	54197.0	65661.0	25852.0	25579.0	1950.0	307.0	1.0	71.0
EC-02J	53778	418	54196	65660	25853	25580	1952	307	17	69
EC-03F	53323	612	53935	64944	26167	22992	2306	1707	39	112
LK-1321	53321.0	617.0	53937.0	64941.0	26168.0	22998.0	2308.0	1706.0	32.0	113.0
EC-13A	53099	486	53585	64740	29049	20552	3039	278	96	85
EC-03G	52801	544	53345	64357	27951	22349	1812	608	39	42
LK-1324	52799.0	542.0	53345.0	64363.0	27947.0	22352.0	1811.0	606.0	28.0	35.0
EC-03C	52528	459	52987	61356	27056	23518	1361	359	48	186
EC-01K	52329	551	52880	62628	26648	23481	1687	238	70	205
EC-05A	52012	385	52397	60536	27368	21748	2501	309	46	40
EC-21B	51453	499	51952	61986	24765	25402	860	273	51	102
LK-9112	51452.0	502.0	51957.0	61989.0	24764.0	25401.0	861.0	271.0	47.0	106.0
LK-1209	51307.0	431.0	51739.0	61492.0	25980.0	23448.0	1542.0	231.0	1.0	81.0
EC-02D	51306	432	51738	61494	25974	23447	1547	231	28	79
EC-03H	51003	944	51947	62890	25681	21041	2043	2079	80	79
EC-03E	50545	741	51286	61809	24494	23154	2164	537	107	89
EC-15C	50518	317	50835	58528	27489	20566	2141	201	31	90
EC-15J	50512	350	50862	58869	28872	19429	1897	198	50	66
EC-02C	50361	437	50798	60560	26504	22027	1356	334	36	104
LK-1206	50358.0	439.0	50798.0	60558.0	26502.0	22030.0	1362.0	334.0	22.0	105.0
EC-08C	50261	421	50682	59798	24667	20389	4781	246	108	70
EC-08G	49975	451	50426	62725	25051	22282	2276	198	78	90
EC-09C	49733	397	50130	58690	23196	17253	8966	183	57	78
EC-16C	49617	479	50096	61128	30142	17553	1525	243	109	45
EC-15I	49506	391	49897	57287	28797	19142	1247	231	33	56
EC-13D	49240	778	50018	66037	23286	17265	2518	304	5748	119
EC-01H	49118	545	49663	62523	25221	21153	2125	504	29	86
LK-1106	49117.0	546.0	49665.0	62522.0	25222.0	21154.0	2124.0	504.0	30.0	87.0
LK-6178	48926.0	324.0	49246.0	57169.0	25598.0	21050.0	2007.0	198.0	13.0	43.0
EC-15H	48924	324	49248	57167	25597	21050	2003	198	31	45
EC-07E	48821	605	49426	57075	27209	19649	1629	210	60	64
EC-07F	48560	540	49100	59040	22301	23689	1981	381	79	129
LK-9218	48452.0	537.0	48986.0	57633.0	26924.0	18804.0	2200.0	432.0	41.0	36.0
EC-22A	48448	538	48986	57629	26926	18803	2201	432	45	41
EC-08B	48201	420	48621	57203	22146	22984	2711	228	61	71
EC-07D	47978	686	48664	58596	23668	21805	2106	294	36	69
EC-16E	47647	289	47936	56885	28801	17293	1318	171	31	33
EC-21A	47627	855	48482	56592	23721	19742	851	272	54	2987
EC-21H	47427	505	47932	60326	24459	18287	4161	378	59	83
EC-02A	46916	425	47341	58015	29387	15717	1402	232	119	59
LK-1218	46916.0	423.0	47340.0	58012.0	29389.0	15716.0	1400.0	230.0	117.0	62.0
EC-15A	46568	369	46937	53576	23438	20998	1882	178	34	38
LK-1236	46375.0	479.0	46851.0	58671.0	24732.0	19050.0	2178.0	311.0	31.0	75.0
EC-02M	46372	480	46852	58671	24732	19050	2179	312	25	74
EC-17E	45678	474	46152	54762	22467	20442	2410	180	32	147
LK-1239	45624.0	411.0	46035.0	55457.0	25399.0	18538.0	1388.0	234.0	0.0	51.0
EC-02L	45623	410	46033	55457	25398	18539	1389	237	13	47
EC-08D	45614	437	46051	57400	20549	21408	3267	229	83	78
EC-08E	45583	457	46040	56693	22605	17757	4874	246	49	52
EC-15D	45559	580	46139	55516	28098	15608	1496	267	41	49
EC-09B	45531	378	45909	56254	21056	18150	5957	227	63	78
EC-21D	45366	336	45702	51837	22923	20679	1440	195	76	53
EC-02B	45200	412	45612	59884	30346	13345	1049	236	97	127
LK-1203	45200.0	414.0	45612.0	59882.0	30345.0	13341.0	1048.0	235.0	97.0	126.0
EC-07G	45025	748	45773	55193	20801	20798	2409	907	39	71
LK-3136	45024.0	748.0	45777.0	55192.0	20801.0	20797.0	2406.0	910.0	23.0	69.0
EC-09A	44993	484	45477	57491	18964	19605	5966	247	97	114
EC-08F	44866	408	45274	56252	23221	19333	2067	156	22	67
LK-3242	44866.0	408.0	45272.0	56250.0	23220.0	19332.0	2065.0	157.0	9.0	72.0
EC-21E	44671	289	44960	51385	24986	17936	1339	291	62	57
EC-15G	44158	257	44415	50788	23479	19760	742	116	32	29
EC-07J	44126	361	44487	56053	18960	22600	2239	180	34	113
EC-15B	43441	314	43755	50467	24544	17307	1262	242	35	51
EC-16B	43218	458	43676	54207	20789	19757	2370	182	48	72
EC-03D	43194	582	43776	51297	21486	20068	998	521	64	57
EC-21F	42962	324	43286	48510	21556	20308	779	205	52	62
EC-08A	42845	428	43273	49817	22457	18147	1886	220	72	63
EC-01A	42564	575	43139	57534	29380	10641	1645	361	477	60
EC-04L	42541	394	42935	50563	26380	15340	528	188	60	45
EC-01I	42341	374	42715	59048	25129	14814	1731	527	32	108
LK-1124	42341.0	375.0	42714.0	59049.0	25130.0	14815.0	1730.0	526.0	34.0	107.0
EC-07I	41780	389	42169	51073	20269	19623	1533	188	32	135
EC-15M	41064	435	41499	48522	23127	16033	1580	203	51	70
LK-6160	41064.0	439.0	41500.0	48525.0	23121.0	16034.0	1584.0	209.0	52.0	74.0
EC-16D	40818	357	41175	49638	23324	16299	1016	119	23	37
EC-05D	40580	396	40976	47906	25183	12982	2033	239	82	61
LK-9206	40167.0	271.0	40444.0	48876.0	24110.0	13813.0	1949.0	224.0	14.0	54.0
EC-22E	40166	275	40441	48873	24108	13814	1945	219	29	51
EC-15K	40134	637	40771	47812	22384	16625	911	124	36	54
EC-15L	39593	295	39888	50454	23370	14638	1300	159	38	88
LK-2136	39592.0	326.0	39911.0	46728.0	20846.0	17594.0	965.0	133.0	0.0	19.0
EC-04J	39590	325	39915	46731	20848	17596	964	131	15	36
EC-04M	39453	411	39864	47445	24586	13512	961	264	64	66
LK-9221	39403.0	856.0	40256.0	47332.0	22643.0	13747.0	1195.0	1683.0	50.0	70.0
EC-22H	39399	856	40255	47333	22645	13749	1198	1683	52	72
EC-01F	39076	406	39482	51622	23730	13194	1139	695	201	117
LK-1130	39076.0	406.0	39482.0	51623.0	23731.0	13193.0	1141.0	695.0	199.0	116.0
EC-22G	38253	771	39024	45811	22889	12517	862	1838	78	69
EC-01G	38084	415	38499	50269	21280	14111	1670	778	99	146
LK-1131	38084.0	414.0	38499.0	50268.0	21282.0	14111.0	1671.0	778.0	101.0	149.0
EC-07H	38015	389	38404	51574	23785	11508	2279	255	63	125
LK-3139	38013.0	389.0	38403.0	51571.0	23788.0	11507.0	2280.0	256.0	65.0	128.0
EC-15F	37721	384	38105	43356	21475	14991	1048	148	22	37
EC-15E	37408	325	37733	43670	21220	14914	1060	156	21	37
LK-9215	37408.0	486.0	37894.0	45105.0	19597.0	15847.0	1479.0	402.0	38.0	55.0
LK-6136	37408.0	325.0	37731.0	43670.0	21219.0	14916.0	1065.0	158.0	10.0	41.0
EC-22B	37407	490	37897	45109	19599	15842	1477	403	32	54
EC-20C	37200	563	37763	48988	16874	15797	4225	214	35	55
LK-1306	36921.0	423.0	37349.0	43995.0	18026.0	17256.0	1071.0	497.0	13.0	58.0
EC-07B	36881	474	37355	45086	17784	16225	2271	515	22	64
LK-9212	36737.0	445.0	37179.0	45147.0	20184.0	14568.0	1505.0	385.0	24.0	69.0
EC-22C	36735	443	37178	45146	20184	14567	1506	384	31	63
EC-04K	36616	246	36862	43223	23440	12100	852	150	27	47
LK-2139	36616.0	244.0	36862.0	43222.0	23438.0	12100.0	854.0	148.0	1.0	19.0
LK-2312	36046.0	478.0	36527.0	43902.0	25087.0	9410.0	960.0	321.0	198.0	67.0
EC-05C	35771	332	36103	43705	22452	11632	1400	153	85	49
EC-17D	35678	249	35927	42409	18894	15054	1486	172	32	40
LK-1309	35604.0	312.0	35914.0	41587.0	18341.0	15940.0	919.0	245.0	31.0	124.0
EC-18C	35416	426	35842	44055	20616	12286	2161	133	166	54
LK-9148	35364.0	377.0	35742.0	44980.0	18238.0	13636.0	3100.0	285.0	47.0	59.0
EC-15N	35291	337	35628	41493	17538	14470	3048	133	52	50
LK-6163	35287.0	339.0	35627.0	41495.0	17540.0	14467.0	3046.0	131.0	41.0	35.0
EC-01D	35277	426	35703	48760	21367	11268	1352	828	320	142
EC-20B	35126	526	35652	41675	16836	16060	1721	343	73	93
EC-18B	35023	312	35335	43240	20324	11777	2736	140	24	22
LK-2315	34959.0	468.0	35430.0	42589.0	24331.0	9130.0	932.0	309.0	190.0	69.0
EC-04C	34862	382	35244	41888	22158	11783	669	161	37	54
LK-2127	34744.0	360.0	35098.0	41313.0	20420.0	12901.0	1141.0	178.0	62.0	37.0
EC-04F	34743	355	35098	41314	20421	12898	1138	180	60	46
EC-17A	34645	350	34995	41463	16590	15079	2749	144	31	52
EC-14A	34455	440	34895	43980	15823	13097	3536	211	1708	80
LK-2306	34402.0	370.0	34770.0	39850.0	20673.0	12413.0	980.0	204.0	18.0	77.0
EC-06C	34398	368	34766	39853	20672	12414	983	202	50	77
EC-22D	34355	328	34683	41612	19130	13220	1799	168	17	21
LK-9203	34354.0	325.0	34680.0	41610.0	19134.0	13221.0	1798.0	168.0	2.0	2.0
EC-04H	34269	277	34546	43442	20105	13219	621	199	32	93
EC-16A	34171	389	34560	45817	24089	8448	706	290	592	46
EC-18A	33989	315	34304	40329	17728	12818	3181	169	35	58
LK-3330	33988.0	282.0	34270.0	41984.0	15715.0	13548.0	4448.0	167.0	54.0	63.0
EC-01C	33977	305	34282	47123	21383	10946	1058	395	132	63
EC-21C	33754	340	34094	38662	17212	15106	1126	214	35	61
LK-9124	33754.0	336.0	34093.0	38663.0	17215.0	15109.0	1128.0	214.0	35.0	61.0
EC-06D	33723	397	34120	38414	18957	13391	1023	208	74	70
LK-2309	33722.0	396.0	34118.0	38411.0	18955.0	13384.0	1029.0	213.0	54.0	51.0
EC-12C	33708	813	34521	45891	7129	3485	415	531	21918	230
EC-22I	33576	572	34148	40531	19249	11997	1371	789	66	104
LK-1115	33256.0	350.0	33604.0	39800.0	16936.0	14924.0	1070.0	152.0	49.0	127.0
EC-04G	33240	414	33654	38947	20296	12286	419	165	43	31
LK-2145	33236.0	413.0	33661.0	38949.0	20293.0	12288.0	418.0	166.0	37.0	19.0
EC-07C	33084	367	33451	41355	17060	12732	3026	181	45	40
EC-17C	32982	366	33348	41615	15856	14944	1891	187	45	59
LK-5112	32119.0	657.0	32776.0	47186.0	14213.0	5822.0	339.0	256.0	11351.0	132.0
LK-2303	31568.0	316.0	31885.0	37124.0	18690.0	12040.0	618.0	148.0	42.0	18.0
EC-06B	31565	320	31885	37124	18684	12036	616	146	51	32
EC-17B	31234	347	31581	36657	15259	13029	2719	166	32	29
EC-14C	31009	536	31545	40422	14529	12900	509	228	2760	83
LK-5327	31008.0	537.0	31544.0	40423.0	14531.0	12896.0	506.0	229.0	2759.0	81.0
LK-6130	30945.0	393.0	31341.0	37704.0	19086.0	10599.0	1021.0	180.0	16.0	26.0
EC-05B	30889	272	31161	35129	17354	12149	1158	155	39	34
EC-04A	30888	214	31102	35940	17778	11874	1092	98	18	28
EC-19G	30791	437	31228	36128	18673	10078	1745	199	61	35
LK-8130	30788.0	435.0	31231.0	36126.0	18671.0	10085.0	1744.0	202.0	58.0	40.0
EC-20A	30260	458	30718	35895	16821	11820	1180	313	55	71
EC-12A	29911	880	30791	46195	15950	7994	258	304	5250	155
LK-2133	29558.0	257.0	29813.0	34762.0	18177.0	9808.0	1420.0	101.0	0.0	25.0
EC-19H	29522	375	29897	35570	15718	12755	652	245	97	55
EC-19A	29148	287	29435	33514	21340	7076	443	229	27	33
LK-3239	29138.0	260.0	29399.0	36569.0	14604.0	12989.0	1328.0	117.0	51.0	54.0
LK-6172	29135.0	228.0	29364.0	33713.0	16944.0	11264.0	735.0	140.0	4.0	29.0
