entity_id	valid	rejected	polled	electors	UNP	TULF	IND	SLFP	SLMC	ELJP	MEP	USA	INDI	ACTC	DPLF	IND 1	IND 2	USF	IND1	IND2	USP
LK	5596468	365563	5962031	9374164	2838005	188594	12285	1785369	202016	67723	90480	141983	175579	7610	19150	46419	1497	965	886	584	17323
LK-1	1758472	87907	1846379	2627742	920332			631053	42279	19272	79656	65880									
LK-6	760391	47417	807808	1103746	454033			267213	6253	14896	2848	14457							107	584	
EC-01	724842	35271	760113	1087891	374530			205053	29308	7112	76966	31873									
LK-11	724842	35271	760113	1087891	374530			205053	29308	7112	76966	31873									
EC-02	712437	32497	744934	969658	385733			294490		10549		21665									
LK-12	712437	32497	744934	969658	385733			294490		10549		21665									
LK-2	644813	47901	692714	1072774	403695			198822	16417	3665		11705			10509						
LK-9	624376	38610	662986	894355	370657			204028		15393	1028	15168							779		17323
EC-15	537916	34212	572128	784991	314724			195526		13759	2848	11059									
LK-61	537916	34212	572128	784991	314724			195526		13759	2848	11059									
LK-3	503085	33003	536088	1318192	261335			203307	4157	5578	3989	24071			648						
LK-5	470653	29528	500181	634631	96367	111310		72496	116076		284		25239			46419	1497	965			
EC-07	365005	23536	388541	571146	183962			152096	4014	4097	2676	18160									
LK-31	365005	23536	388541	571146	183962			152096	4014	4097	2676	18160									
EC-21	339122	20248	359370	457224	196323			123360		1337									779		17323
LK-91	339122	20248	359370	457224	196323			123360		1337									779		17323
EC-04	332109	22374	354483	628317	204973			105977	14697	1315		5147									
LK-21	332109	22374	354483	628317	204973			105977	14697	1315		5147									
EC-03	321193	20139	341332	570193	160069			131510	12971	1611	2690	12342									
LK-13	321193	20139	341332	570193	160069			131510	12971	1611	2690	12342									
LK-8	317446	32021	349467	491248	181402		349	119651	450	5589	2144	7861									
EC-22	285254	18362	303616	437131	174334			80668		14056	1028	15168									
LK-92	285254	18362	303616	437131	174334			80668		14056	1028	15168									
LK-4	283043	29665	312708	733658	13985	77284	7879	1568	16384				150340	7610	7993						
EC-10	239855	25203	265058	592210	5460	60013			8439				150340	7610	7993						
LK-7	234189	19511	253700	497818	136199		4057	87231		3330	531	2841									
EC-19	229094	19704	248798	329321	135089			81011		5589	1693	5712									
LK-81	229094	19704	248798	329321	135089			81011		5589	1693	5712									
EC-16	222475	13205	235680	318755	139309			71687	6253	1137		3398							107	584	
LK-62	222475	13205	235680	318755	139309			71687	6253	1137		3398							107	584	
LK-41	217771	21570	239341	537101	3873	50861			7764				141199	6852	7222						
EC-13	213714	10727	224441	265768	62600	43424		45400	61325									965			
LK-52	213714	10727	224441	265768	62600	43424		45400	61325									965			
EC-06	173424	13600	187024	229519	109853			47128	1720			4214			10509						
LK-23	173424	13600	187024	229519	109853			47128	1720			4214			10509						
EC-17	164445	14245	178690	334073	92726		4057	64010		1397	531	1724									
LK-71	164445	14245	178690	334073	92726		4057	64010		1397	531	1724									
EC-12	155361	13923	169284	216574	11317	55131		4130	36867							46419	1497				
LK-51	155361	13923	169284	216574	11317	55131		4130	36867							46419	1497				
EC-05	139280	11927	151207	214938	88869			45717		2350		2344									
LK-22	139280	11927	151207	214938	88869			45717		2350		2344									
LK-1103	120580.0	8580.0	129162.0	184980.0	71786.0			17552.0	22660.0	445.0	2058.0	6079.0									
EC-14	101578	4878	106456	152289	22450	12755		22966	17884		284		25239								
LK-53	101578	4878	106456	152289	22450	12755		22966	17884		284		25239								
EC-20	88352	12317	100669	161927	46313		349	38640	450		451	2149									
LK-82	88352	12317	100669	161927	46313		349	38640	450		451	2149									
EC-01B	87398	6126	93524	131624	49733			11861	19874	205	1326	4399									
LK-1127	85434.0	3888.0	89328.0	133986.0	50496.0			21474.0	3541.0	862.0	3328.0	5729.0									
EC-08	81505	5128	86633	451926	45734			28752		1481	1313	4225									
LK-32	81505	5128	86633	451926	45734			28752		1481	1313	4225									
EC-06A	73464	5937	79401	100139	44252			15928	1078			3488			8718						
EC-12B	71058	4487	75545	99096	7186	17194		3162	21172							21445	899				
EC-18	69744	5266	75010	163745	43473			23221		1933		1117									
LK-72	69744	5266	75010	163745	43473			23221		1933		1117									
EC-13D	69627	3533	73160	82231	11475	23352		13012	21631									157			
EC-13A	67137	4104	71241	92901	37611	124		28602	190									610			
LK-1133	61309.0	2462.0	63769.0	95788.0	33090.0			22025.0	300.0	238.0	1860.0	3793.0									
EC-01O	61308	2463	63771	95786	33090			22024	301	238	1859	3796									
LK-1224	60427.0	2301.0	62726.0	82687.0	30377.0			27763.0		855.0		1429.0									
EC-02H	60426	2297	62723	82689	30376			27765		859		1426									
LK-1136	59826.0	2714.0	62534.0	87609.0	27412.0			25831.0	73.0	268.0	4349.0	1885.0									
EC-01N	59825	2710	62535	87609	27415			25830	73	266	4351	1890									
EC-02F	58853	2436	61289	76279	32021			25061		756		1015									
LK-1215	58848.0	2435.0	61292.0	76286.0	32019.0			25058.0		751.0		1019.0									
EC-02E	58339	2713	61052	77242	33179			22985		1618		557									
LK-1212	58339.0	2720.0	61049.0	77238.0	33175.0			22982.0		1623.0		556.0									
EC-01J	56848	2473	59321	86029	25849			21306	117	485	7241	1850									
LK-1109	56845.0	2474.0	59321.0	86028.0	25848.0			21302.0	114.0	487.0	7241.0	1852.0									
EC-02G	56701	2677	59378	77198	25194			28576		1765		1166									
LK-1227	56698.0	2678.0	59377.0	77200.0	25193.0			28580.0		1760.0		1169.0									
EC-09	56575	4339	60914	295120	31639			22459	143			1686			648						
LK-33	56575	4339	60914	295120	31639			22459	143			1686			648						
EC-02J	56296	2631	58927	78192	28310			25361		513		2112									
LK-1233	56290.0	2632.0	58927.0	78191.0	28311.0			25358.0		511.0		2116.0									
EC-02I	55936	2640	58576	80113	34415			19230		390		1901									
LK-1221	55932.0	2638.0	58579.0	80115.0	34415.0			19229.0		388.0		1904.0									
EC-01M	54783	2138	56921	81774	22042			11002	158	671	19152	1758									
LK-1121	54783.0	2139.0	56922.0	81774.0	22041.0			11000.0	157.0	669.0	19151.0	1756.0									
LK-1230	54726.0	2397.0	57129.0	71250.0	27779.0			25747.0		349.0		857.0									
EC-02K	54725	2401	57126	71255	27777			25746		345		857									
EC-02C	53967	2457	56424	75135	28660			22318		333		2656									
LK-1206	53963.0	2456.0	56423.0	75136.0	28661.0			22317.0		333.0		2657.0									
EC-21B	52979	2847	55826	68694	26289			25112		117									102		1359
LK-9112	52977.0	2846.0	55831.0	68688.0	26288.0			25112.0		118.0									106.0		1362.0
EC-03B	52364	2550	54914	72270	24894			23202	1968	167	369	1764									
EC-02D	51799	2536	54335	67159	27430			23286		233		850									
LK-1209	51796.0	2536.0	54330.0	67158.0	27433.0			23288.0		233.0		850.0									
LK-1112	50956.0	3065.0	54019.0	82137.0	24793.0			14873.0	85.0	1847.0	7920.0	1441.0									
EC-01L	50954	3068	54022	82139	24795			14872	81	1846	7920	1440									
LK-1303	50511.0	2164.0	52671.0	76834.0	20471.0			23777.0	2431.0	165.0	643.0	3025.0									
EC-03A	50510	2162	52672	76836	20473			23778	2428	165	641	3025									
EC-16C	49685	2832	52517	69743	30573			17456	699	333		430							32	162	
EC-01K	49681	2500	52181	67851	23462			4131	168	1172	20225	523									
EC-01H	49530	2477	52007	74671	24561			18531	662	161	2698	2917									
LK-1106	49530.0	2475.0	52005.0	74672.0	24563.0			18530.0	661.0	159.0	2698.0	2918.0									
EC-07E	48926	2954	51880	64452	25466			22597	92	162	298	311									
EC-02A	48611	2200	50811	67601	28841			17229		512		2029									
LK-1218	48611.0	2200.0	50812.0	67600.0	28841.0			17228.0		511.0		2028.0									
EC-16E	47384	2712	50096	65347	31912			14006	120	128		1090							17	111	
EC-07F	46979	2705	49684	64390	23790			22325	114	174	115	461									
EC-02L	46644	2507	49151	65038	25435			18521		1253		1435									
LK-1239	46642.0	2506.0	49151.0	65041.0	25436.0			18522.0		1254.0		1432.0									
EC-02B	46296	2403	48699	67618	30610			12566		1310		1810									
LK-1203	46293.0	2404.0	48699.0	67617.0	30609.0			12563.0		1309.0		1808.0									
EC-03C	46277	2883	49160	67915	25770			17658	129	103	839	1778									
EC-16B	45923	2799	48722	66912	29291			15208	450	329		505							24	116	
EC-21D	45832	3201	49033	58861	27987			16662		130									122		931
EC-02M	45767	2190	47957	65066	23549			18716		438		3064									
LK-1236	45765.0	2191.0	47958.0	65066.0	23550.0			18717.0		438.0		3063.0									
EC-21A	45405	2919	48324	60466	26165			8628		235									92		10285
EC-15J	45324	2777	48101	63024	28242			14595		994	188	1305									
EC-15H	44609	2531	47140	61031	25786			16903		658	219	1043									
LK-6178	44609.0	2526.0	47139.0	61032.0	25789.0			16902.0		659.0	220.0	1042.0									
EC-21E	44484	2849	47333	57842	29204			14610		133									109		428
EC-22A	44140	2629	46769	60616	23006			13722		6834	70	508									
LK-9218	44139.0	2628.0	46771.0	60618.0	23004.0			13726.0		6834.0	72.0	503.0									
EC-05A	43494	3818	47312	71722	23381			18786		882		445									
EC-12A	43259	4401	47660	60149	1916	13383		445	15522							11589	404				
EC-21F	43259	2277	45536	53422	24875			17457		98									97		732
EC-11	43188	4462	47650	141448	8525	17271	7879	1568	7945												
LK-1124	42863.0	1508.0	44368.0	65985.0	20110.0			17008.0	284.0	385.0	3032.0	2041.0									
EC-01I	42861	1507	44368	65984	20113			17007	284	386	3030	2041									
EC-15G	42057	1589	43646	54522	22496			18535		714	104	208									
EC-15I	41945	2459	44404	61316	24386			15487		1448	183	441									
LK-5112	41703.0	2631.0	44334.0	58159.0	4217.0	10088.0		1856.0	12422.0							12585.0	526.0				
LK-2130	40623.0	2125.0	42740.0	75012.0	23981.0			12762.0	2281.0	258.0		1336.0									
EC-07I	40286	1856	42142	56408	19615			19613	160	452	161	285									
EC-15A	40104	3540	43644	60359	20412			16976		1173	311	1232									
EC-21H	40028	2350	42378	72897	22885			15843		416									127		757
EC-07G	40003	2729	42732	59508	21511			14593	85	180	534	3100									
