entity_id	valid	rejected	polled	electors	UNP	SLFP	SLMP
LK	5094754	91499	5186256	9283143	2569199	2289857	235701
LK-1	1826073	27940	1854013	2665797	880939	875272	69862
EC-01	735315	11295	746610	1105583	361337	339958	34020
LK-11	735315	11295	746610	1105583	361337	339958	34020
EC-02	728112	10108	738220	985206	350092	355553	22467
LK-12	728112	10108	738220	985206	350092	355553	22467
LK-2	670957	10597	681554	1080307	383266	276919	10772
LK-9	644429	8390	652819	901571	349342	279648	15439
LK-6	612854	7246	620100	1055840	324001	277043	11810
LK-3	468708	10319	479027	1324563	211509	245382	11817
EC-04	426577	6167	432744	633030	234124	186187	6266
LK-21	426577	6167	432744	633030	234124	186187	6266
LK-5	391447	10291	401741	634919	194918	133834	62698
EC-15	388599	4281	392880	734453	198662	182220	7717
LK-61	388599	4281	392880	734453	198662	182220	7717
EC-03	362646	6537	369183	575008	169510	179761	13375
LK-13	362646	6537	369183	575008	169510	179761	13375
EC-21	349017	4113	353130	460735	180622	159879	8516
LK-91	349017	4113	353130	460735	180622	159879	8516
EC-22	295412	4277	299689	440836	168720	119769	6923
LK-92	295412	4277	299689	440836	168720	119769	6923
EC-07	279944	4461	284405	576390	124912	148615	6417
LK-31	279944	4461	284405	576390	124912	148615	6417
EC-16	224255	2965	227220	321387	125339	94823	4093
LK-62	224255	2965	227220	321387	125339	94823	4093
EC-13	189909	3802	193711	266396	96420	83137	10352
LK-52	189909	3802	193711	266396	96420	83137	10352
EC-06	180413	3320	183733	231278	112135	64907	3371
LK-23	180413	3320	183733	231278	112135	64907	3371
LK-7	180156	3364	183520	499764	83343	93327	3486
LK-8	161116	4127	165243	473608	97651	59346	4119
LK-4	139014	9225	148239	646774	44230	49086	45698
EC-19	134424	3276	137700	311473	80779	50223	3422
LK-81	134424	3276	137700	311473	80779	50223	3422
EC-17	132634	2207	134841	335551	56951	73154	2529
LK-71	132634	2207	134841	335551	56951	73154	2529
LK-1103	124791.0	2217.0	127009.0	188068.0	81185.0	36825.0	6779.0
EC-12	120918	5163	126081	215983	61657	21018	38243
LK-51	120918	5163	126081	215983	61657	21018	38243
EC-10	120045	8517	128562	551713	33650	44197	42198
LK-41	109592	8139	117731	498109	29857	40133	39602
EC-08	105745	2003	107748	452637	45399	57424	2922
LK-32	105745	2003	107748	452637	45399	57424	2922
EC-01B	89399	1572	90971	133920	58795	26083	4521
LK-1127	87013.0	1506.0	88523.0	136364.0	47600.0	34032.0	5379.0
EC-09	83019	3855	86874	295536	41198	39343	2478
LK-33	83019	3855	86874	295536	41198	39343	2478
EC-14	80620	1326	81949	152540	36841	29679	14103
LK-53	80620	1326	81949	152540	36841	29679	14103
EC-06A	77152	1771	78923	101765	52653	22209	2290
EC-13A	68005	831	68836	94068	34251	32915	839
EC-01O	64688	977	65665	96841	31546	29654	3488
LK-1133	64686.0	979.0	65667.0	96842.0	31546.0	29656.0	3486.0
EC-05	63967	1110	65077	215999	37007	25825	1135
LK-22	63967	1110	65077	215999	37007	25825	1135
EC-01N	62961	879	63840	89277	25549	35184	2228
LK-1136	62959.0	877.0	63841.0	89278.0	25553.0	35186.0	2233.0
EC-02H	62127	721	62848	85424	25948	34340	1839
LK-1224	62121.0	720.0	62845.0	85421.0	25950.0	34343.0	1842.0
LK-1215	60582.0	829.0	61405.0	78057.0	29426.0	29750.0	1407.0
EC-02F	60579	825	61404	78056	29424	29751	1404
EC-02G	59475	735	60210	79172	22242	35758	1475
LK-1227	59473.0	737.0	60208.0	79175.0	22244.0	35761.0	1474.0
EC-02J	58736	735	59471	79936	26024	30305	2407
LK-1233	58735.0	735.0	59468.0	79936.0	26030.0	30311.0	2410.0
EC-02K	57960	511	58471	72945	26155	30829	976
LK-1230	57960.0	512.0	58474.0	72943.0	26153.0	30831.0	974.0
EC-13D	57846	1524	59370	82833	25262	27239	5345
EC-02I	57144	1052	58196	81566	30021	25357	1766
LK-1221	57144.0	1052.0	58198.0	81566.0	30019.0	25356.0	1766.0
EC-04B	57021	962	57983	94109	30708	25594	719
EC-02C	56175	822	56997	76452	28760	25379	2036
LK-1206	56175.0	822.0	56999.0	76451.0	28762.0	25380.0	2036.0
EC-02E	55621	860	56481	78953	26835	27712	1074
LK-1212	55621.0	859.0	56478.0	78949.0	26830.0	27709.0	1070.0
LK-1109	55581.0	806.0	56386.0	87695.0	22874.0	30600.0	2108.0
EC-01J	55580	806	56386	87693	22872	30600	2108
EC-03B	55224	871	56095	73585	26066	26897	2261
EC-21B	55147	608	55755	70048	26029	27658	1460
LK-9112	55142.0	607.0	55756.0	70050.0	26031.0	27657.0	1458.0
LK-1303	54617.0	799.0	55411.0	78330.0	22701.0	28365.0	3552.0
EC-03A	54615	799	55414	78330	22701	28366	3548
EC-01M	54426	779	55205	83598	20770	31396	2260
LK-1121	54425.0	781.0	55208.0	83601.0	20770.0	31393.0	2259.0
EC-12B	53495	1702	55197	99717	29976	8547	14972
EC-02D	52704	742	53446	68377	25792	25857	1055
LK-1209	52698.0	742.0	53444.0	68378.0	25790.0	25862.0	1054.0
EC-16C	52165	731	52896	70574	27932	23485	748
EC-01H	51356	849	52205	75650	23895	25050	2411
LK-1106	51354.0	852.0	52202.0	75649.0	23895.0	25050.0	2409.0
LK-2130	51227.0	692.0	51918.0	77168.0	28129.0	21651.0	1455.0
EC-01L	50110	679	50789	86987	20810	27570	1730
LK-1112	50110.0	681.0	50790.0	86994.0	20805.0	27570.0	1724.0
EC-16E	49582	736	50318	66244	28407	20234	941
EC-03C	49323	632	49955	69405	23868	24116	1339
EC-01K	49212	570	49782	68892	24292	23721	1199
EC-02A	49207	666	49873	68477	27945	19361	1901
LK-1218	49206.0	664.0	49873.0	68478.0	27945.0	19363.0	1902.0
EC-02L	49081	685	49766	66166	23930	23633	1518
LK-1239	49080.0	685.0	49764.0	66166.0	23932.0	23633.0	1519.0
EC-07F	48370	793	49163	65351	20368	27061	941
EC-21D	47647	516	48163	59661	24802	22074	771
LK-1321	47537.0	1160.0	48696.0	75912.0	22548.0	22426.0	2558.0
EC-03F	47535	1161	48696	75912	22551	22425	2559
EC-18	47522	1157	48679	164213	26392	20173	957
LK-72	47522	1157	48679	164213	26392	20173	957
EC-02B	47337	587	47924	68250	29016	16601	1720
LK-1203	47337.0	584.0	47924.0	68252.0	29014.0	16599.0	1724.0
EC-02M	46972	690	47662	65961	21395	22877	2700
LK-1236	46969.0	690.0	47664.0	65963.0	21397.0	22877.0	2702.0
EC-21E	45995	538	46533	58565	26643	18744	608
EC-21F	45372	467	45839	54001	23198	21298	876
EC-07E	45170	745	45915	65310	22029	22347	794
EC-21A	44965	533	45498	61203	24281	18647	2037
EC-04L	44194	517	44711	55425	24800	18976	418
EC-01I	43604	563	44167	67194	18834	22607	2163
LK-1124	43604.0	564.0	44168.0	67195.0	18833.0	22608.0	2161.0
EC-03G	43401	700	44101	73408	20529	21920	952
LK-1324	43401.0	699.0	44099.0	73408.0	20530.0	21922.0	955.0
EC-21H	42217	615	42832	73382	21204	20184	829
EC-16D	41630	388	42018	57526	22194	18585	851
EC-09D	40877	1667	42544	95245	20020	19665	1192
EC-04M	40844	521	41365	54010	24203	16082	559
EC-16B	40789	393	41182	67553	21252	18875	662
EC-07I	40406	368	40774	57724	16865	22877	664
LK-2312	39164.0	901.0	40066.0	51659.0	26727.0	11276.0	1165.0
EC-03E	38661	716	39377	70457	17917	19908	836
EC-15G	38625	336	38961	55318	18932	19275	418
EC-01G	38500	584	39084	55248	18409	18308	1783
LK-1131	38499.0	583.0	39084.0	55249.0	18409.0	18308.0	1783.0
EC-15M	38451	380	38831	52815	20429	17465	557
LK-6160	38448.0	379.0	38833.0	52819.0	20428.0	17467.0	560.0
EC-15J	38364	430	38794	63877	21532	16301	531
LK-2315	37986.0	869.0	38859.0	50104.0	25926.0	10934.0	1130.0
EC-03D	37939	880	38819	58030	18705	18491	743
EC-16A	37790	632	38422	57106	24362	12613	815
LK-3139	37530.0	635.0	38158.0	56082.0	19229.0	17430.0	867.0
EC-07H	37528	633	38161	56083	19227	17432	869
LK-1306	37375.0	589.0	37963.0	49800.0	17638.0	18200.0	1532.0
EC-06C	37129	576	37705	44596	22748	14011	370
LK-2306	37128.0	574.0	37706.0	44596.0	22751.0	14009.0	372.0
EC-22E	37052	452	37504	55270	22423	14094	535
LK-9206	37052.0	450.0	37504.0	55276.0	22425.0	14092.0	537.0
LK-1130	36633.0	520.0	37152.0	52969.0	18326.0	16599.0	1707.0
EC-01F	36632	520	37152	52969	18326	16599	1707
LK-9218	36586.0	395.0	36978.0	61670.0	20951.0	15042.0	589.0
EC-22A	36584	396	36980	61669	20951	15046	587
EC-04C	36546	611	37157	48741	20902	15087	557
EC-22G	36319	516	36835	48662	21614	13452	1253
EC-15I	36218	338	36556	62275	18063	17660	495
EC-22H	36205	542	36747	50045	21282	13249	1674
LK-9221	36205.0	545.0	36748.0	50041.0	21283.0	13253.0	1676.0
LK-9124	35742.0	400.0	36136.0	43819.0	18369.0	16719.0	652.0
EC-21C	35740	400	36140	43820	18370	16719	651
EC-01A	35392	647	36039	54149	22389	10744	2259
EC-12C	34235	2373	36608	56447	16227	4031	13977
LK-2145	34002.0	376.0	34372.0	42869.0	19688.0	14016.0	296.0
EC-04G	34001	373	34374	42868	19688	14015	298
LK-1309	33429.0	431.0	33853.0	47045.0	16177.0	16347.0	910.0
EC-13B	33227	857	34084	44790	17866	12983	2378
LK-2309	33023.0	531.0	33554.0	44213.0	18099.0	14510.0	403.0
EC-06D	33022	530	33552	44214	18099	14519	404
EC-12A	32799	1079	33878	59421	15289	8375	9135
EC-04H	32349	395	32744	48208	16825	14690	834
LK-5327	32277.0	349.0	32631.0	48569.0	16283.0	11089.0	4910.0
EC-14C	32276	352	32631	48570	16283	11087	4909
EC-01D	32255	666	32921	51225	16480	13477	2298
EC-18C	32150	634	32784	64885	17179	14320	651
LK-2303	31644.0	398.0	32042.0	39195.0	17820.0	13549.0	276.0
EC-06B	31643	401	32044	39194	17822	13549	272
LK-9148	31478.0	457.0	31936.0	54719.0	15810.0	15048.0	616.0
EC-22B	31472	570	32042	48269	16732	14160	580
LK-9215	31472.0	572.0	32039.0	48275.0	16732.0	14161.0	577.0
LK-5112	31395.0	1003.0	32393.0	58522.0	17592.0	5012.0	8787.0
EC-03H	31315	521	31836	70991	15155	15255	905
LK-1115	31275.0	359.0	31635.0	43786.0	15435.0	15074.0	762.0
EC-01C	31237	499	31736	47917	16452	13083	1702
LK-9212	31089.0	470.0	31558.0	48214.0	15162.0	15225.0	694.0
EC-22C	31087	474	31561	48217	15167	15226	694
EC-17D	30806	428	31234	52547	14857	15492	457
EC-04J	30692	362	31054	52182	14478	15699	515
LK-2136	30685.0	362.0	31055.0	52178.0	14474.0	15702.0	515.0
EC-07J	30466	438	30904	61369	11500	18329	637
EC-08F	30422	497	30919	64438	11606	17718	1098
LK-3242	30420.0	498.0	30920.0	64436.0	11607.0	17722.0	1098.0
EC-15K	30315	375	30690	51363	13915	15872	528
EC-13C	30220	573	30793	44077	18746	9708	1766
LK-6178	29319.0	389.0	29711.0	61648.0	15142.0	13660.0	515.0
EC-15H	29317	389	29706	61644	15140	13662	515
