entity_id	valid	rejected	polled	electors	ITAK	UNP	UPFA	SLMC	JVP	EPDP	AITC	TULF	PP	EDF	MJP	DUA	AITM	UPF	JSP	SLMP	UPP	FSP	IG0	IG1	ONF	DP	IG3	NSU	IG2	BJP	SLNF	OWORS	SEP	USP	ELPP	SLLP	ACMC	NSSP	TLP	SLVP	DNM	CWC	MNA
LK	11140333	516926	11684111	15601119	515963	5098916	4732664	44193	544154	33481	18644	4173	4272	3173	352	98	1628	488	1728	626	5353	7349	14927	996	2868	28587	40	502	13	20377	236	700	321	1895	454	62	33102	644	118	49	47	17107	33
LK-1	3128584	120984	3251919	4216722		1527981	1362822		207746			723			138		104	211	551		1119	1906	916	266	846	11740		33		9528	41	280	125	753	122	12		529	23	49	20		
LK-3	1465158	37855	1505612	1980647		582288	760003		109575						67				266		695	1828	1861		735	3873		84		3460	24	38			193	19		74	48		27		
LK-2	1457415	91390	1549816	2043455		807922	582815		47206				2250	605	22		109	72	271	281	1123	549	1613			4201		107		3020	46	221	54	345	139	11						4400	33
LK-6	1309761	69160	1389091	1895604		621460	627254		53288								101		131		588	498	336	354	333	4017		64		1229	38	23							47				
EC-02	1223174	56246	1280647	1678383		577004	549958		87880						41			77	185		415	693	97	129		4706				1664		184						141					
LK-12	1223174	56246	1280647	1678383		577004	549958		87880						41			77	185		415	693	97	129		4706				1664		184						141					
EC-01	1207949	43372	1252271	1612984		640743	474063		81391			723			55		104	134	296		422	463	488	137	497	5238		33		2137	14		125	429	82			303	23	49			
LK-11	1207949	43372	1252271	1612984		640743	474063		81391			723			55		104	134	296		422	463	488	137	497	5238		33		2137	14		125	429	82			303	23	49			
LK-9	1131728	41796	1173896	1513748		531584	550844		39919						14				93		702	833	488		613	1526		81		1943	25	60		494		20		41				2448	
EC-15	961972	46036	1008459	1332768		441275	474124		41077										102		391	256	290	91	333	3119		53		788	26								47				
LK-61	961972	46036	1008459	1332768		441275	474124		41077										102		391	256	290	91	333	3119		53		788	26								47				
EC-04	792637	37065	830165	1095840		440761	309152		30669						22			72	155		517	349	759			2771		60		2305	46	154		345	67							4400	33
LK-21	792637	37065	830165	1095840		440761	309152		30669						22			72	155		517	349	759			2771		60		2305	46	154		345	67							4400	33
LK-5	740955	42516	787953	1128150	218500	267010	160029	38477	8028	1129	2448	1339		790			612	153	58		291	445	6919	171	341	934	40	44	13	64	18						33102						
LK-8	735154	33458	769128	1008759		369216	317595		35071						41				29		556	534	315			727		31		688	14	78										10259	
LK-7	711326	37116	748961	1002268		331917	333028		42198						28		93	43	36		266	602	898	150		1569		23		445	30												
EC-03	697461	21366	719001	925355		310234	338801		38475						42				70		282	750	331		349	1796				5727	27	96		324	40	12		85			20		
LK-13	697461	21366	719001	925355		310234	338801		38475						42				70		282	750	331		349	1796				5727	27	96		324	40	12		85			20		
EC-21	631998	23026	655222	833465		284117	323636		21525										49		465	263	183		379	787		35		413	25	60				20		41					
LK-91	631998	23026	655222	833465		284117	323636		21525										49		465	263	183		379	787		35		413	25	60				20		41					
EC-07	624135	15107	639318	852336		265180	312518		37778						67				75		324	1287	446		294	2967		30		3041								74	27		27		
LK-31	624135	15107	639318	852336		265180	312518		37778						67				75		324	1287	446		294	2967		30		3041								74	27		27		
EC-22	499730	18770	518674	680283		247467	227208		18394						14				44		237	570	305		234	739		46		1530				494								2448	
LK-92	499730	18770	518674	680283		247467	227208		18394						14				44		237	570	305		234	739		46		1530				494								2448	
EC-08	475340	12692	490409	648201		186675	250505		35270										94		242	254	1255		262	521		33			24				165	19			21				
LK-32	475340	12692	490409	648201		186675	250505		35270										94		242	254	1255		262	521		33			24				165	19			21				
EC-17	475047	28462	503845	679983		213072	229856		28701									43	36		266	198	818	150		1569		23		285	30												
LK-71	475047	28462	503845	679983		213072	229856		28701									43	36		266	198	818	150		1569		23		285	30												
EC-19	472166	24167	496849	651406		258844	179459		21445						41						419	323	188			500				688												10259	
LK-81	472166	24167	496849	651406		258844	179459		21445						41						419	323	188			500				688												10259	
LK-4	460252	42651	507735	811766	297463	59538	38274	5716	1123	32352	16196	2111	2022	1778	42	98	609	9	293	345	13	154	1581	55				35					142	303									
EC-06	387585	32788	420734	549517		228920	147348		5590				2250	605					90		427	59	762			1055		34		313		43	54		35								
LK-23	387585	32788	420734	549517		228920	147348		5590				2250	605					90		427	59	762			1055		34		313		43	54		35								
EC-09	365683	10056	375885	480110		130433	196980		36527										97		129	287	160		179	385		21		419		38			28								
LK-33	365683	10056	375885	480110		130433	196980		36527										97		129	287	160		179	385		21		419		38			28								
EC-16	347789	23124	380632	562836		180185	153130		12211								101		29		197	242	46	263		898		11		441	12	23											
LK-62	347789	23124	380632	562836		180185	153130		12211								101		29		197	242	46	263		898		11		441	12	23											
EC-13	325848	18423	344618	485762	45421	151013	89334		5391	237	439							136	16		157	159	94	45		231		9		64							33102						
LK-52	325848	18423	344618	485762	45421	151013	89334		5391	237	439							136	16		157	159	94	45		231		9		64							33102						
