entity_id	valid	rejected	polled	electors	NDF	UPFA	DUNF	UDF	JSP	SLLP	Ind 5	Ind 1	NSH	ONF	USP	Ind 3	LF	SEP	NA	Ind 2	RPP	JP	Ind 4	PNF	ACAKO	UNAF
LK	10393613	101838	10495451	15734587	4173185	6015934	39226	23290	26266	14220	9662	18747	9684	9353	8352	9381	7055	4195	3523	6131	2618	2770	3134	2620	2007	2260
LK-1	2981279	24895	3006174	3879965	1199335	1746018	4907	3990	5202	3555	1099	3673	1582	1625	1515	1892	1867	800	474	1342	393	487	481	379	308	355
LK-3	1397114	9008	1406122	1814282	465479	910013	3291	1949	4108	1668	458	2625	927	855	938	1138	568	336	289	879	286	342	292	293	201	179
LK-2	1361587	17828	1379415	1823252	610609	716193	8049	3976	4359	2363	1332	2522	1804	1585	1422	1503	958	718	706	965	470	486	513	422	341	291
LK-6	1268006	9530	1277536	1734072	463827	784765	4527	1499	2710	1302	434	2339	867	799	736	1098	552	322	290	703	190	233	252	242	168	151
EC-02	1165648	8960	1174608	1505363	434506	718716	2059	1230	1979	992	303	1379	500	524	499	710	510	238	146	526	130	168	173	123	102	135
LK-12	1165648	8960	1174608	1505363	434506	718716	2059	1230	1979	992	303	1379	500	524	499	710	510	238	146	526	130	168	173	123	102	135
EC-01	1161382	11394	1172776	1541242	533022	614740	1606	1579	1540	1798	548	1219	629	680	544	600	1052	338	169	437	143	176	154	136	128	144
LK-11	1161382	11394	1172776	1541242	533022	614740	1606	1579	1540	1798	548	1219	629	680	544	600	1052	338	169	437	143	176	154	136	128	144
LK-9	1072390	8034	1080424	1383746	378443	674373	3144	1961	2837	1566	524	2204	976	984	919	1010	538	407	365	609	265	288	275	261	239	202
EC-15	923893	6644	930537	1230966	327594	582784	3112	912	1943	922	302	1669	604	553	492	813	399	220	203	475	146	171	185	177	118	99
LK-61	923893	6644	930537	1230966	327594	582784	3112	912	1943	922	302	1669	604	553	492	813	399	220	203	475	146	171	185	177	118	99
EC-04	750786	8700	759486	1001074	329492	406636	2810	1624	1950	1059	442	1200	848	703	600	711	462	305	295	523	192	216	243	178	158	139
LK-21	750786	8700	759486	1001074	329492	406636	2810	1624	1950	1059	442	1200	848	703	600	711	462	305	295	523	192	216	243	178	158	139
LK-5	680525	9740	690265	1991381	386823	272327	5401	3532	1564	1090	1304	1513	1205	1228	754	619	606	349	377	365	237	214	387	243	180	207
LK-8	675878	8355	684233	911744	265638	396014	1976	1554	2088	1097	557	1399	771	840	664	711	367	309	336	374	231	209	233	217	149	144
LK-7	673213	5257	678470	910769	218787	443337	2540	713	1745	707	200	1622	526	467	352	612	254	164	144	327	130	134	132	131	108	81
EC-03	654249	4541	658790	833360	231807	412562	1242	1181	1683	765	248	1075	453	421	472	582	305	224	159	379	120	143	154	120	78	76
LK-13	654249	4541	658790	833360	231807	412562	1242	1181	1683	765	248	1075	453	421	472	582	305	224	159	379	120	143	154	120	78	76
EC-07	607621	3765	611386	785663	211633	386971	1256	804	1770	627	168	1080	397	336	384	549	239	157	126	435	120	115	124	140	101	89
LK-31	607621	3765	611386	785663	211633	386971	1256	804	1770	627	168	1080	397	336	384	549	239	157	126	435	120	115	124	140	101	89
EC-21	592426	4430	596856	748404	203566	377734	1767	1126	1525	905	278	1383	552	589	528	534	291	216	231	300	143	160	176	150	140	132
LK-91	592426	4430	596856	748404	203566	377734	1767	1126	1525	905	278	1383	552	589	528	534	291	216	231	300	143	160	176	150	140	132
EC-22	479964	3604	483568	635342	174877	296639	1377	835	1312	661	246	821	424	395	391	476	247	191	134	309	122	128	99	111	99	70
LK-92	479964	3604	483568	635342	174877	296639	1377	835	1312	661	246	821	424	395	391	476	247	191	134	309	122	128	99	111	99	70
EC-08	451929	3025	454954	594628	148510	296155	1088	736	1381	597	154	829	313	283	345	329	199	112	82	284	107	125	81	97	66	56
LK-32	451929	3025	454954	594628	148510	296155	1088	736	1381	597	154	829	313	283	345	329	199	112	82	284	107	125	81	97	66	56
EC-17	450038	3785	453823	616186	143761	298448	1921	477	1268	488	146	1115	325	295	237	417	183	110	82	254	101	102	87	93	77	51
LK-71	450038	3785	453823	616186	143761	298448	1921	477	1268	488	146	1115	325	295	237	417	183	110	82	254	101	102	87	93	77	51
EC-19	446294	6083	452377	598190	198835	237579	1292	1212	1214	733	450	795	580	669	506	525	248	246	263	265	179	153	165	164	117	104
LK-81	446294	6083	452377	598190	198835	237579	1292	1212	1214	733	450	795	580	669	506	525	248	246	263	265	179	153	165	164	117	104
EC-06	346382	6462	352844	466440	180604	151604	4134	1729	1568	932	698	687	657	633	522	452	339	310	294	268	192	181	178	170	126	104
LK-23	346382	6462	352844	466440	180604	151604	4134	1729	1568	932	698	687	657	633	522	452	339	310	294	268	192	181	178	170	126	104
