entity_id	valid	rejected	polled	electors	UNP	UPFA	USP	JSP	ULPP	NLF	ULF	RPP	SLNF	DUA	SEP	SLPF	UNAF
LK	9717039	109869	9826908	14136979	4706366	4887152	35425	31238	14458	9296	6357	7685	6639	5082	3500	2525	1316
LK-1	2819387	31120	2850507	3657887	1317434	1472822	8041	6349	5022	2245	1634	1618	1414	1155	968	456	229
LK-3	1366115	12545	1378660	1734924	517869	829562	4997	5267	1857	1418	827	1320	1210	821	445	355	167
LK-2	1319115	19012	1338127	1720797	763515	535755	6609	5271	1809	1360	952	913	1011	677	548	432	263
LK-6	1230280	11994	1242274	1640131	588073	629193	3420	3180	1644	982	738	905	769	546	430	259	141
EC-01	1114250	12879	1127129	1486021	569627	534431	2628	2057	2174	775	601	519	422	398	410	134	74
LK-11	1114250	12879	1127129	1486021	569627	534431	2628	2057	2174	775	601	519	422	398	410	134	74
EC-02	1089277	11724	1101001	1390691	481764	596698	2790	2371	1983	856	609	631	570	418	343	157	87
LK-12	1089277	11724	1101001	1390691	481764	596698	2790	2371	1983	856	609	631	570	418	343	157	87
LK-9	1023847	10305	1034152	1280781	476321	533444	4024	3579	1502	1082	748	932	896	561	286	323	149
EC-15	896497	8458	904955	1162099	418809	468507	2357	2369	1142	695	524	613	566	363	255	187	110
LK-61	896497	8458	904955	1162099	418809	468507	2357	2369	1142	695	524	613	566	363	255	187	110
EC-04	712620	9817	722437	933754	387150	315672	2775	2589	1091	717	529	487	584	372	307	219	128
LK-21	712620	9817	722437	933754	387150	315672	2775	2589	1091	717	529	487	584	372	307	219	128
LK-8	648049	9461	657510	836253	318826	318828	3000	2933	853	763	496	687	522	363	326	290	162
LK-7	629464	6565	636029	833868	280098	341539	1967	2131	704	795	402	649	486	288	146	163	96
EC-03	615860	6517	622377	781175	266043	341693	2623	1921	865	614	424	468	422	339	215	165	68
LK-13	615860	6517	622377	781175	266043	341693	2623	1921	865	614	424	468	422	339	215	165	68
EC-07	594468	5540	600008	751327	239320	347233	2244	2173	873	524	388	517	469	305	221	136	65
LK-31	594468	5540	600008	751327	239320	347233	2244	2173	873	524	388	517	469	305	221	136	65
LK-5	588438	6813	595251	1208795	372909	206845	2775	2208	832	494	477	578	248	533	253	204	82
EC-21	555074	5510	560584	678909	252838	294260	2220	2122	795	645	393	557	496	330	134	206	78
LK-91	555074	5510	560584	678909	252838	294260	2220	2122	795	645	393	557	496	330	134	206	78
EC-22	468773	4795	473568	601872	223483	239184	1804	1457	707	437	355	375	400	231	152	117	71
LK-92	468773	4795	473568	601872	223483	239184	1804	1457	707	437	355	375	400	231	152	117	71
EC-08	451722	4077	455799	577327	165837	279411	1687	1877	554	524	277	451	451	320	140	119	74
LK-32	451722	4077	455799	577327	165837	279411	1687	1877	554	524	277	451	451	320	140	119	74
EC-19	426599	6825	433424	550926	226582	192734	2327	1990	614	468	363	401	322	239	224	217	118
LK-81	426599	6825	433424	550926	226582	192734	2327	1990	614	468	363	401	322	239	224	217	118
EC-17	419434	4563	423997	562259	182956	231040	1378	1448	478	569	261	428	367	207	115	115	72
LK-71	419434	4563	423997	562259	182956	231040	1378	1448	478	569	261	428	367	207	115	115	72
EC-06	355875	5410	361285	454528	250428	99550	2622	1465	376	287	215	202	199	164	146	137	84
LK-23	355875	5410	361285	454528	250428	99550	2622	1465	376	287	215	202	199	164	146	137	84
EC-16	333783	3536	337319	478032	169264	160686	1063	811	502	287	214	292	203	183	175	72	31
LK-62	333783	3536	337319	478032	169264	160686	1063	811	502	287	214	292	203	183	175	72	31
EC-09	319925	2928	322853	406270	112712	202918	1066	1217	430	370	162	352	290	196	84	100	28
LK-33	319925	2928	322853	406270	112712	202918	1066	1217	430	370	162	352	290	196	84	100	28
EC-13	285267	2941	288208	407918	159198	122329	1091	1072	331	188	203	297	134	215	82	89	38
LK-52	285267	2941	288208	407918	159198	122329	1091	1072	331	188	203	297	134	215	82	89	38
EC-05	250620	3785	254405	332515	125937	120533	1212	1217	342	356	208	224	228	141	95	76	51
LK-22	250620	3785	254405	332515	125937	120533	1212	1217	342	356	208	224	228	141	95	76	51
EC-20	221450	2636	224086	285327	92244	126094	673	943	239	295	133	286	200	124	102	73	44
LK-82	221450	2636	224086	285327	92244	126094	673	943	239	295	133	286	200	124	102	73	44
EC-18	210030	2002	212032	271609	97142	110499	589	683	226	226	141	221	119	81	31	48	24
LK-72	210030	2002	212032	271609	97142	110499	589	683	226	226	141	221	119	81	31	48	24
EC-06A	192961	2841	195802	246062	156343	33453	1631	689	182	115	125	79	67	73	90	74	40
LK-1103	160532.0	2553.0	163089.0	230885.0	124070.0	34664.0	717.0	300.0	215.0	131.0	131.0	44.0	56.0	96.0	64.0	26.0	13.0
EC-12	152837	1778	154615	323337	121514	28836	892	578	225	149	142	124	43	153	104	59	18
LK-51	152837	1778	154615	323337	121514	28836	892	578	225	149	142	124	43	153	104	59	18
EC-14	150334	2094	152428	477540	92197	55680	792	558	276	157	132	157	71	165	67	56	26
LK-53	150334	2094	152428	477540	92197	55680	792	558	276	157	132	157	71	165	67	56	26
LK-1127	113878.0	1548.0	115424.0	165030.0	75091.0	37666.0	270.0	149.0	368.0	101.0	55.0	28.0	41.0	30.0	55.0	15.0	6.0
EC-01J	113805	1209	115014	148435	47025	65829	192	236	207	59	54	69	42	37	43	8	4
LK-1109	113805.0	1212.0	115018.0	148436.0	47025.0	65832.0	190.0	237.0	212.0	58.0	55.0	74.0	44.0	36.0	44.0	0.0	0.0
EC-01N	109602	1110	110712	140094	42042	66660	163	238	192	67	59	57	40	33	37	10	4
LK-1136	109598.0	1111.0	110709.0	140091.0	42041.0	66661.0	159.0	236.0	192.0	67.0	59.0	57.0	39.0	26.0	34.0	0.0	0.0
EC-01L	108882	1035	109917	141974	43477	64433	242	206	184	68	55	62	64	44	25	19	3
LK-1112	108880.0	1033.0	109916.0	141974.0	43477.0	64432.0	241.0	210.0	180.0	73.0	57.0	68.0	69.0	45.0	5.0	3.0	0.0
EC-04B	104777	1432	106209	138171	59899	43540	390	322	147	91	84	72	77	62	33	39	21
EC-09D	104513	1012	105525	133196	40006	63197	330	364	117	133	50	91	86	65	25	36	13
EC-13A	103179	949	104128	136738	44218	57624	275	418	131	86	58	127	89	55	37	45	16
EC-01B	100424	1616	102040	144916	78908	20395	448	189	117	71	93	28	37	69	37	20	12
LK-2312	97950.0	1441.0	99397.0	124907.0	79365.0	16981.0	831.0	349.0	95.0	57.0	62.0	45.0	35.0	38.0	49.0	39.0	1.0
EC-02H	97241	944	98185	124714	34376	62018	197	191	168	70	46	55	42	31	29	9	9
LK-1224	97240.0	948.0	98184.0	124716.0	34377.0	62019.0	200.0	194.0	172.0	74.0	33.0	57.0	27.0	7.0	4.0	0.0	0.0
EC-02J	95380	901	96281	122039	37772	56759	211	198	155	55	42	60	50	35	29	10	4
LK-1233	95379.0	901.0	96280.0	122040.0	37775.0	56763.0	210.0	198.0	155.0	52.0	33.0	62.0	47.0	19.0	11.0	0.0	0.0
LK-2315	95010.0	1403.0	96405.0	121157.0	76980.0	16468.0	806.0	341.0	87.0	49.0	56.0	33.0	29.0	33.0	36.0	33.0	14.0
EC-20C	94419	1055	95474	119506	39117	54066	248	352	101	137	52	127	84	54	38	26	17
EC-18C	93183	936	94119	121949	44951	47188	231	308	112	106	51	108	47	32	19	20	10
EC-21H	92479	961	93440	115991	38163	52947	324	398	107	142	57	97	110	66	24	34	10
LK-4	92344	2054	94398	1223543	71321	19164	592	320	235	157	83	83	83	138	98	43	27
EC-01O	92089	975	93064	115759	43207	48047	232	192	143	52	38	57	33	34	37	13	4
LK-1133	92089.0	976.0	93064.0	115758.0	43208.0	48048.0	230.0	189.0	143.0	50.0	41.0	59.0	38.0	39.0	40.0	2.0	0.0
EC-02C	90528	977	91505	114595	40473	49095	258	195	177	79	52	84	43	31	18	13	10
LK-1206	90526.0	973.0	91506.0	114592.0	40471.0	49094.0	259.0	198.0	172.0	87.0	52.0	89.0	33.0	15.0	4.0	0.0	0.0
EC-01M	90425	910	91335	119137	36093	53681	103	138	173	52	41	46	26	24	35	5	8
LK-1121	90424.0	906.0	91337.0	119139.0	36091.0	53680.0	102.0	137.0	170.0	52.0	42.0	46.0	28.0	26.0	33.0	0.0	0.0
EC-02I	90362	973	91335	117040	42606	46950	196	167	175	54	56	51	45	19	29	11	3
LK-1221	90360.0	971.0	91338.0	117036.0	42608.0	46954.0	200.0	166.0	171.0	58.0	60.0	52.0	49.0	7.0	28.0	1.0	0.0
EC-02F	88220	947	89167	111211	37801	49509	259	179	162	74	59	42	38	36	29	22	10
LK-1215	88217.0	944.0	89197.0	111207.0	37807.0	49508.0	261.0	179.0	163.0	81.0	52.0	9.0	6.0	5.0	1.0	0.0	0.0
EC-02G	86568	1090	87658	112898	33171	52393	252	214	208	83	40	63	48	37	35	16	8
LK-1227	86568.0	1081.0	87665.0	112903.0	33168.0	52392.0	246.0	223.0	218.0	75.0	7.0	37.0	15.0	4.0	2.0	1.0	0.0
EC-03B	86291	870	87161	107308	34749	50481	341	279	105	63	72	52	59	40	21	23	6
EC-11	84476	1398	85874	515573	65798	17197	520	286	115	133	62	71	68	107	69	27	23
EC-13D	84359	863	85222	129798	55467	27704	419	314	76	55	73	93	29	68	18	27	16
EC-05A	83778	1073	84851	111401	38692	43853	325	361	102	117	61	84	71	41	31	23	17
EC-02E	82801	982	83783	107553	36345	45537	227	196	145	85	70	38	62	42	28	13	13
LK-1212	82798.0	981.0	83786.0	107550.0	36338.0	45536.0	222.0	199.0	155.0	81.0	54.0	6.0	34.0	8.0	1.0	0.0	0.0
EC-12B	82428	970	83398	147979	65401	15798	474	265	136	51	73	51	20	93	41	18	7
LK-1106	82029.0	893.0	82921.0	107728.0	40745.0	40617.0	174.0	167.0	116.0	51.0	34.0	36.0	25.0	12.0	21.0	4.0	0.0
EC-01H	82028	892	82920	107725	40744	40616	178	166	117	47	34	36	27	19	24	13	7
EC-21B	81572	720	82292	100230	37253	43251	259	276	111	73	73	91	83	48	14	27	13
LK-9112	81572.0	721.0	82292.0	100229.0	37250.0	43254.0	255.0	274.0	112.0	76.0	76.0	94.0	85.0	47.0	5.0	24.0	4.0
EC-17E	80879	836	81715	106717	33758	46073	247	256	107	99	54	80	94	45	18	28	20
EC-09C	80319	695	81014	102009	25992	53291	232	307	107	93	38	103	66	41	24	24	1
EC-03C	80089	802	80891	100085	34300	44801	293	232	134	68	53	56	54	48	21	15	14
EC-03A	79921	762	80683	101328	33034	46097	216	182	128	85	47	46	25	22	23	14	2
LK-1303	79917.0	761.0	80682.0	101325.0	33031.0	46097.0	219.0	181.0	127.0	86.0	51.0	50.0	11.0	5.0	7.0	0.0	0.0
EC-01K	79098	865	79963	101065	36227	41936	281	209	114	88	66	51	33	31	36	16	10
LK-1321	78934.0	808.0	79732.0	102012.0	32915.0	45137.0	235.0	220.0	95.0	67.0	39.0	78.0	44.0	25.0	26.0	0.0	0.0
EC-03F	78930	808	79738	102020	32916	45143	237	222	91	63	43	76	48	36	37	13	5
LK-2130	78865.0	963.0	79829.0	105572.0	46022.0	32106.0	173.0	171.0	136.0	59.0	34.0	24.0	30.0	16.0	27.0	8.0	0.0
