entity_id	valid	rejected	polled	electors	ITAK	EDF	ELMS	DNA	IG1D	IG2D	IG3D	IG4D	IG5D	IG6D	IG7D	IG8D	IG9D	UPFA	AITC	AITUF	UNP	UNAF	UDF	USP	JSP	TMVP	PERLF	MLF	LLF	SLNF	SMBP	IG1T	IG2T	IG3T	IG4T	IG5T	IG6T	IG7T	IG8T	IG9T	DPLF	IG1B	IG2B	IG3B	IG4B	IG5B	IG6B	IG7B	IG8B	IG9B	ONF	OWORS	TULF	EPDP	IG1V	DUA	IG9V	IG2V	IG6V	IG3V	IG4V	IG5V	IG7V	IG8V	IG9J	IG2J	IG4J	IG1J	IG3J	IG5J	IG6J	IG7J	IG8J	SEP	IG1P	IG7P	PNF	ELPP	IG2P	IG6P	IG8P	IG9P	IG3P	IG4P	IG5P	SLLP	NSU	UPF	IG1N	IG5N	IG3N	IG2N	IG4N	IG6N	IG9N	IG7N	IG8N	IG2M	IG3M	RJP	IG1M	IG4M	NPP	IG1H	OWO	IG4H	IG2H	IG3H	IG8M	IG5M	IG9M	IG6M	IG7M	IG1R	IG5R	IG2R	IG3R	IG4R	IG6R	IG7R	IG8R	IG9R	TLP	CDUA	IG3C	IG6C	IG8C	IG1C	IG7C	IG2C	IG9C	IG4C	IG5C	MNA	IG1K	IG3K	IG2K	IG4K	IG6K	IG9K	IG5K	IG7K	IG8K	IG6G	IG2G	IG7G	IG3G	IG4G	IG1G	IG5G	IG6A	IG1A	IG7A	IG5A	IG2A	IG3A	IG4A	IG9G	IG8G	OWOS	JS	J	OORS
LK	8010885	581465	8358246	14113122	233190	3709	667	441251	51	89	178	122	23	138	4	107	76	4846388	7544	85	2357057	2454	1497	2192	4772	20284	2100	128	2385	5313	12166	77	15	55	19	35	41	98	9	16	6036	696	364	80	5076	290	1362	35	1355	68	2647	314	9223	2867	1979	1270	262	36	31	12	16	32	62	37	171	179	2151	2648	1161	437	1038	261	93	371	183	42	558	2387	33	36	42	37	26	41	62	338	19	24670	1294	235	33	29	17	35	51	17	12	217	108	106	164	214	164	58	146	113	30	51	94	381	130	85	105	205	21	53	43	23	11	47	60	46	131	75	31	20	63	239	75	38	43	45	16	147	362	148	311	158	78	181	166	107	301	469	1524	272	79	67	150	174	97	156	86	65	58	53	13	279	76	14	2	84	2
LK-1	2360854	152339	2514802	3884612			190	217152										1384208			745869	656	337	352	1429				833	1721	57																				683	208	834																					132			145	1828								129																	29																					27	31	20	63	239	75	38	43	45	16	147	217	95	251	88	31	148	112	47	32	42	1469	45	54	39	126	65								279	76	14	2	84	2
LK-3	1067024	49542	1116566	1816647			60	73314										694052			294242	249	286	685	563	49			156	889	49																				491																							93			69									36												25	30		35	42	57	58	97	113	30	51		278													30																					427	55	227	25	28	24	109													
LK-2	1020330	114879	1136089	1825256			136	35348										619999			345420	478	99	303	871			50	109	1016	263																				163	12																						45			116									46		13189	1294	235	33	29	17	35	51	17	12	128	38	12	97	104							94	103	130	85	105											48																																							
EC-01	938723	50354	989729	1542457			126	110683										480896			339750	292	114	352	623				706	924	35																				373	124	834																					132			26	1828								30																	29																					27	31	20	63	239	75	38	43	45	16	147																										14	2	84	2
LK-11	938723	50354	989729	1542457			126	110683										480896			339750	292	114	352	623				706	924	35																				373	124	834																					132			26	1828								30																	29																					27	31	20	63	239	75	38	43	45	16	147																										14	2	84	2
LK-6	930498	74692	1005920	1731679			42	35232										597085			294865	68	318		52				57	749	51																				393	13																							175	25	50	559	23	30	32	35	18	29	50	30	19													44																							101												13	19	34	43	21	33	26	30	134																				
EC-02	929731	50234	980467	1506969			31	69747										589476			266523	229	134		586					625																						40																									66									79																																																										42	1469	45	54	39	126	65								279	76				
LK-12	929731	50234	980467	1506969			31	69747										589476			266523	229	134		586					625																						40																									66									79																																																										42	1469	45	54	39	126	65								279	76				
LK-9	805764	62987	868815	1387940			71	24571										547790			230001	265	153	362	616				110	353	59																				352																										82									32																												205	21	53	43	23	11	47	60	46													132	34	26	27	26		28	30	135																				
EC-15	671757	53130	725566	1228044			26	26440										429316			213713		277		45				24	483	37																				393																										36	448								21														44																							101												13	19	34	43	21	33	26	30	134																				
LK-61	671757	53130	725566	1228044			26	26440										429316			213713		277		45				24	483	37																				393																										36	448								21														44																							101												13	19	34	43	21	33	26	30	134																				
EC-04	558804	58333	617559	1000861			56	23728										339819			192798	245			550			50	66	921	25																																														62									26												53	22		59	72							55	58	44	34	13											48																																							
LK-21	558804	58333	617559	1000861			56	23728										339819			192798	245			550			50	66	921	25																																														62									26												53	22		59	72							55	58	44	34	13											48																																							
LK-5	558601	24998	345368	593389	126398	1457	35	5760	51	89	178	122	23	138	4	107	76	253889	1182	85	153383	285	72	150	369	20088	279	78	179	226	31	77	15	55	19	35	41	98	9	16	136	605	316	36	430	46	1362	35	1355	68	74	37	4424																																	15														0																																																															
LK-8	509169	34318	543487	912452			70	24786										324323			141778	311	149	60	203				11	136	147											91	48	44	4646	244					275																										29									24		11481										64	40	38	32	68	71																																																												
LK-7	503936	37728	541737	915031			63	24586										339898			126092	142	83		421	53			49	194	11451																				130																								8	17	67		10	6	10	2	8	12	12	26														12			7		49																																														97	156	86	65	58	53	13						
EC-03	492400	51751	544606	835186			33	36722										313836			139596	135	89		220				127	172	22																				310	44																									53									20																																																	217	95	251	88	31	148	112	47	32																				
LK-13	492400	51751	544606	835186			33	36722										313836			139596	135	89		220				127	172	22																				310	44																									53									20																																																	217	95	251	88	31	148	112	47	32																				
EC-07	461388	24013	485401	787139			37	33663										305307			120101	153	95	285	328					330	30																																											93																															71																																							427	55	227	25	28	24	109													
LK-31	461388	24013	485401	787139			37	33663										305307			120101	153	95	285	328					330	30																																											93																															71																																							427	55	227	25	28	24	109													
EC-21	443309	37022	480395	750416			36	11053										305327			125076	163	76	189	297				75	97	15																				352																										34									10																												205	21	53	43	23	11	47	60	46																																									
LK-91	443309	37022	480395	750416			36	11053										305327			125076	163	76	189	297				75	97	15																				352																										34									10																												205	21	53	43	23	11	47	60	46																																									
EC-22	362455	25965	388420	637524			35	13518										242463			104925	102	77	173	319				35	256	44																																														48									22																																																	132	34	26	27	26		28	30	135																				
LK-92	362455	25965	388420	637524			35	13518										242463			104925	102	77	173	319				35	256	44																																														48									22																																																	132	34	26	27	26		28	30	135																				
EC-19	349678	24169	373847	598521			70	15768										203689			112886	254	120		79						137											91	48	44	4646	244																																								24		11481												26			71																																																												
LK-81	349678	24169	373847	598521			70	15768										203689			112886	254	120		79						137											91	48	44	4646	244																																								24		11481												26			71																																																												
EC-17	332538	22930	355468	619845			46	18129										221204			80360	87	66		352				48	147	11445																																														51									26																			49																																														97	156	86	65	58	53	13						
LK-71	332538	22930	355468	619845			46	18129										221204			80360	87	66		352				48	147	11445																																														51									26																			49																																														97	156	86	65	58	53	13						
EC-08	327582	14289	341871	594290				20465										213937			91114		150	240	213	49			126	478	19																				261																										37									23												25	30		35	42	30							278													30																																								
LK-32	327582	14289	341871	594290				20465										213937			91114		150	240	213	49			126	478	19																				261																										37									23												25	30		35	42	30							278													30																																								
EC-09	278054	11240	289294	435218			23	19186										174808			83027	96	41	160	22				30	81																					230																										32									13																	27	58	26	113	30	51																																																							
LK-33	278054	11240	289294	435218			23	19186										174808			83027	96	41	160	22				30	81																					230																										32									13																	27	58	26	113	30	51																																																							
EC-06	265962	37236	303470	467332			41	3984										149111			96885	157	63	303	156				23	20	225																																											45			32									5		13189	1294	235	33	29	17	35	51	17	12																																																																		
LK-23	265962	37236	303470	467332			41	3984										149111			96885	157	63	303	156				23	20	225																																											45			32									5		13189	1294	235	33	29	17	35	51	17	12																																																																		
EC-16	258741	21562	280354	503635			16	8792										167769			81152	68	41		7				33	266	14																					13																							175	25	14	111	23	30	32	35	18	29	50	9	19																																																																												
LK-62	258741	21562	280354	503635			16	8792										167769			81152	68	41		7				33	266	14																					13																							175	25	14	111	23	30	32	35	18	29	50	9	19																																																																												
LK-4	254709	29982	285462	1046116	106792	2252		502										85144	6362		25407			280	248	94	1821		881	29	58										5900										86	44	3965	2867	1979	1270	262	36	31	12	16	32	62	37	171	179	2151	2648	1161	437	1038	261	93	101																																																																																									
EC-13	240251	9	19	8	26895	391	4	2917	51	89	178	122	23	138	4	107	76	132096			90757	75	45		82	1490		36	12	56	6																				23																																			15														0																																																															
LK-52	240251	9	19	8	26895	391	4	2917	51	89	178	122	23	138	4	107	76	132096			90757	75	45		82	1490		36	12	56	6																				23																																			15														0																																																															
EC-05	195564	19310	215060	357063			39	7636										131069			55737	76	36		165				20	75	13																				163	12																									22									15												75	16	12	38	32							39	45	86	51	92																																																		
LK-22	195564	19310	215060	357063			39	7636										131069			55737	76	36		165				20	75	13																				163	12																									22									15												75	16	12	38	32							39	45	86	51	92																																																		
EC-12	178837	14749	195367	339982	66235	1066	31	324										62009			22935	134			155	16886		14	136		11										136	605	316	36	430	46	1362	35	1355	68	51	37	4424																																																																																																														
LK-51	178837	14749	195367	339982	66235	1066	31	324										62009			22935	134			155	16886		14	136		11										136	605	316	36	430	46	1362	35	1355	68	51	37	4424																																																																																																														
EC-18	171398	14798	186269	295186			17	6457										118694			45732	55	17		69	53			1	47	6																				130																								8	17	16		10	6	10	2	8	12	12															12			7																																																												
LK-72	171398	14798	186269	295186			17	6457										118694			45732	55	17		69	53			1	47	6																				130																								8	17	16		10	6	10	2	8	12	12															12			7																																																												
EC-20	159491	10149	169640	313931				9018										120634			28892	57	29	60	124				11	136	10																				275																										29																					64	40	12	32	68																																																													
LK-82	159491	10149	169640	313931				9018										120634			28892	57	29	60	124				11	136	10																				275																										29																					64	40	12	32	68																																																													
EC-10	147898	19774	168277	742005	65119	858		201										47622	6362		12624			280	134	69	1821		868																							44	2892			764									171	179	2151	2648	1161	437	1038	261	93	101																																																																																									
EC-06A	146227	19969	166331	247069			20	1389										72766			59339	81	37	230	24				12	9	13																																											38			14									1		10912	6	102	8	11	9	16	38	8	7																																																																		
EC-14	139513	10240	149982	253399	33268			2519										59784	1182	85	39691	76	27	150	132	1712	279	28	31	170	14	77	15	55	19	35	41	98	9	16																																																																																																																											
LK-53	139513	10240	149982	253399	33268			2519										59784	1182	85	39691	76	27	150	132	1712	279	28	31	170	14	77	15	55	19	35	41	98	9	16																																																																																																																											
LK-41	132009	17653	150163	643730	57114	794		188										42726	5803		11777			265	132	65	1593		826																							43	2219			500									158	173	2099	2593	1083	420	1010	244	90	94																																																																																									
LK-1103	131448.0	11098.0	142701.0	235209.0			45.0	9471.0										37769.0			82248.0	92.0	29.0	124.0	253.0				256.0	124.0	1.0																				54.0	33.0	228.0																					14.0			0.0	395.0								0.0																	0.0																					1.0	0.0	0.0	2.0	71.0	9.0	18.0	12.0	25.0	0.0	39.0																												83.0	0.0
EC-11	106811	10208	117185	304111	41673	1394		301										37522			12783				114	25			13	29	58										5900										86		1073	2867	1979	506	262	36	31	12	16	32	62	37																																																																																																			
LK-1136	96120.0	4160.0	100341.0	148699.0			0.0	13533.0										60138.0			21952.0	0.0	0.0	0.0	0.0				14.0	83.0	0.0																				39.0	0.0	0.0																					0.0			0.0	179.0								0.0																	0.0																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													
EC-01N	96117	4160	100339	148696			7	13532										60139			21953	11	5	17	7				26	82	1																				39	16	16																					13			4	180								1																	2																					1	1	4	5	4	5	1	1	4	2	17																													
EC-01L	95255	4206	99517	155720			2	10103										57951			26841	24	7	9	2				19	42	3																				41		7																					11			1	121								0																	1																					1	3	4	4	3	5	1	3	2	0	10																										1			
LK-1112	95253.0	4203.0	99517.0	155719.0			0.0	10103.0										57950.0			26839.0	3.0	0.0	0.0	3.0				3.0	43.0	0.0																				40.0		0.0																					0.0			0.0	125.0								0.0																	0.0																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																										0.0			
EC-01J	95197	4193	99450	158736			4	14460										56539			23546	18	8	14	9				21	231	2																				43	10	9																					14			4	188								5																	3																					3	4	0	12	2	11	4	2	3	0	10																													
LK-1109	95197.0	4190.0	99448.0	158736.0			0.0	14461.0										56539.0			23546.0	6.0	0.0	2.0	0.0				10.0	231.0	0.0																				44.0	0.0	0.0																					2.0			0.0	188.0								0.0																	0.0																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													
LK-1127	93386.0	5842.0	99312.0	166321.0			5.0	9903.0										33494.0			48718.0	44.0	17.0	73.0	145.0				182.0	49.0	4.0																				21.0	9.0	367.0																					22.0			0.0	212.0								1.0																	3.0																					1.0	0.0	2.0	3.0	41.0	2.0	2.0	3.0	1.0	0.0	14.0																										9.0			
EC-09D	91341	3776	95117	143622			9	5751										52058			33172	29	9	60	7				8	44																					66																										10									5																	6	28	7	37	14	21																																																							
EC-12B	87904	5783	94537	155537	32758	568	10	218										35089			12284	49			26	3756		3	89		5										92	4	1	17	95	26	300	15	470	22	26	13	1578																																																																																																														
EC-13A	84352	2	5	2	14	140	4	2188	3	3	4	3	12		4	62	49	51777			29812	24	9		21	8				6																					5																																																																																																																
LK-1224	83700.0	3929.0	87693.0	133608.0			0.0	7186.0										58265.0			17975.0	1.0	0.0		1.0					73.0																						0.0																									0.0									0.0																																																										0.0	37.0	0.0	0.0	0.0	0.0	0.0								1.0	0.0				
EC-02H	83698	3930	87698	133606			2	7188										58268			17976	21	13		12					69																						3																									7									9																																																										3	47	4	6	3	3	8								25	2				
EC-02J	82967	3925	86932	134581			1	7027										55327			20387	19	15		4					22																						0																									8									15																																																										3	83	1	1	1	3	4								18	1				
LK-1233	82964.0	3926.0	86933.0	134579.0			0.0	7025.0										55327.0			20383.0	1.0	1.0		4.0					4.0																						0.0																									0.0									1.0																																																										0.0	88.0	0.0	0.0	0.0	0.0	0.0								1.0	0.0				
EC-01B	80593	6606	87297	139822			35	6243										21794			51421	51	19	70	20				142	24	1																				28	35	90																					5			3	302								2																	1																					4	4	4	6	6	0	14	3	15	3	28																													
EC-04B	79997	8345	88401	147475			7	3551										46026			30124	38			5			20	5	62	0																																														9									5												6	3		4	5							4	12	4	5	4											4																																							
EC-02C	78580	5021	83621	127421			3	5228										49766			22919	22	10		12					52																						2																									3									6																																																										3	418	6	7	5	0	11								27	18				
LK-1206	78578.0	5019.0	83619.0	127418.0			0.0	5228.0										49768.0			22922.0	8.0	0.0		55.0					52.0																						0.0																									0.0									0.0																																																										0.0	415.0	0.0	0.0	0.0	0.0	0.0								13.0	4.0				
EC-02I	77297	4208	81537	127821			3	6544										43920			26397	16	10		10					83																						6																									6									8																																																										2	223	4	3	2	2	6								21	6				
LK-1221	77297.0	4208.0	81536.0	127820.0			0.0	6540.0										43921.0			26399.0	2.0	0.0		7.0					83.0																						0.0																									0.0									0.0																																																										0.0	219.0	0.0	0.0	0.0	0.0	0.0								8.0	0.0				
EC-18C	76280	6804	83116	130851			8	2453										51998			21579	30	9		18	50			1	11	2																				55																								5	11	4		1	3	6	1	0	4	3															4			3																																																												
EC-01M	75804	3014	78861	121247			5	12313										44200			18937	9	6	12	6				23	60	5																				37	4	11																					11			1	125								2																	1																					0	2	0	1	1	4	0	2	0	0	6																													
LK-1121	75804.0	3012.0	78859.0	121245.0			0.0	12313.0										44200.0			18939.0	0.0	0.0	0.0	0.0				25.0	59.0	0.0																				36.0	0.0	0.0																					0.0			0.0	126.0								0.0																	0.0																					0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																													
EC-13D	75669	4	8	4	14248	134		183	5	11	7	5	8	72		29	14	32603			27189	33	16		5	934		23	9	5	5																				8																																			8																																																																													
EC-01O	74484	3725	78242	114601			31	8159										40369			25356	25	15	20	11				30	191	3																				41	0	33																					11			1	92								3																	2																					1	0	0	8	2	27	0	5	2	1	14																													
LK-1133	74484.0	3724.0	78241.0	114603.0			37.0	8157.0										40368.0			25358.0	29.0	4.0	15.0	22.0				36.0	187.0	0.0																				45.0	0.0	38.0																					1.0			0.0	92.0								0.0																	0.0																					0.0	0.0	0.0	1.0	1.0	32.0	0.0	0.0	0.0	0.0	2.0																													
LK-2312	74229.0	10138.0	84436.0	125419.0			0.0	707.0										36936.0			30125.0	45.0	1.0	120.0	36.0				0.0	0.0	0.0																																											1.0			0.0									0.0		5540.0	543.0	55.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0																																																																		
LK-1215	73880.0	3672.0	77613.0	120859.0			0.0	5264.0										49030.0			19300.0	0.0	0.0		20.0					2.0																						0.0																									0.0									0.0																																																										0.0	110.0	0.0	0.0	0.0	0.0	0.0								2.0	0.0				
EC-02F	73877	3675	77614	120860			3	5270										49033			19295	13	14		13					31																						2																									5									5																																																										2	91	4	3	2	1	1								30	9				
LK-1227	72917.0	3777.0	76719.0	120900.0			0.0	5623.0										51169.0			15913.0	1.0	0.0		2.0					3.0																						0.0																									0.0									0.0																																																										0.0	0.0	0.0	0.0	0.0	0.0	0.0								1.0	0.0				
EC-02G	72914	3774	76722	120900			1	5626										51172			15912	22	13		22					36																						1																									6									4																																																										3	5	3	9	4	2	2								23	6				
LK-2315	71996.0	9828.0	81895.0	121646.0			0.0	688.0										35827.0			29219.0	33.0	9.0	115.0	32.0				0.0	0.0	0.0																																											9.0			0.0									0.0		5373.0	527.0	44.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0																																																																		
