entity_id	valid	rejected	polled	electors	I-AMI	UPF	DNM	SLNF	USP	AACAAKO	SEP	FSP	SLLP	NDF	ULPP	I-AP	JSP	NSH	PNF	UPFA	ONF	NSSP	ULGC
LK	12123452	140925	12264377	15585942	10618	14379	2793	1826	8840	3846	4277	9941	14351	6217162	12436	4260	3750	6875	18174	5768090	15726	4047	2061
LK-1	3390840	38362	3429202	4219269	2179	2396	494	346	1507	608	837	2190	2484	1743484	2014	702	1094	1052	3171	1622851	2557	535	339
LK-2	1591696	21975	1613671	2032313	1567	2549	421	283	1642	702	706	1407	2613	885527	2451	829	567	1229	2844	682804	2550	662	343
LK-3	1579037	14758	1593795	1978195	1318	1329	333	229	928	395	408	1454	1253	645137	1136	433	481	762	2533	918244	1982	430	252
LK-6	1445474	13585	1459059	1896361	1062	1276	258	145	727	280	313	771	1130	678675	976	310	297	589	1953	754619	1629	266	198
EC-02	1342496	14647	1357143	1680263	930	859	192	140	566	216	281	780	872	669007	668	257	409	399	1249	664347	1033	169	122
LK-12	1342496	14647	1357143	1680263	930	859	192	140	566	216	281	780	872	669007	668	257	409	399	1249	664347	1033	169	122
EC-01	1296360	15334	1311694	1612660	702	978	181	126	525	214	346	715	1007	725073	786	274	479	321	943	562614	716	236	124
LK-11	1296360	15334	1311694	1612660	702	978	181	126	525	214	346	715	1007	725073	786	274	479	321	943	562614	716	236	124
LK-9	1216855	14171	1231026	1512126	1116	1238	287	217	902	373	411	1106	1390	545047	1322	435	334	739	2216	657183	1936	390	213
EC-15	1041624	9285	1050909	1333377	682	839	177	102	457	173	196	465	724	476602	637	216	228	441	1374	556868	1138	181	124
LK-61	1041624	9285	1050909	1333377	682	839	177	102	457	173	196	465	724	476602	637	216	228	441	1374	556868	1138	181	124
EC-04	855908	10993	866901	1087542	799	1103	182	116	628	312	318	723	1028	466994	1003	328	277	554	1306	378585	1204	285	163
LK-21	855908	10993	866901	1087542	799	1103	182	116	628	312	318	723	1028	466994	1003	328	277	554	1306	378585	1204	285	163
LK-5	809759	7010	816769	1134002	679	1381	207	146	669	334	337	810	1812	583120	1420	403	198	703	1231	214769	985	419	136
LK-8	788186	11320	799506	1003774	884	1313	204	134	773	314	287	742	971	354800	960	338	236	541	1619	421988	1560	355	167
LK-7	780629	6290	786919	1002215	479	714	116	80	417	139	147	660	726	386381	762	188	142	348	1271	386801	977	149	132
EC-03	751984	8381	760365	926346	547	559	121	80	416	178	210	695	605	349404	560	171	206	332	979	395890	808	130	93
LK-13	751984	8381	760365	926346	547	559	121	80	416	178	210	695	605	349404	560	171	206	332	979	395890	808	130	93
EC-21	680084	7656	687740	831712	588	696	165	130	545	206	230	516	787	292514	750	245	198	492	1379	379053	1217	253	120
LK-91	680084	7656	687740	831712	588	696	165	130	545	206	230	516	787	292514	750	245	198	492	1379	379053	1217	253	120
EC-07	677811	6516	684327	850549	612	597	143	90	392	169	190	835	498	293994	462	193	199	278	995	377126	755	185	98
LK-31	677811	6516	684327	850549	612	597	143	90	392	169	190	835	498	293994	462	193	199	278	995	377126	755	185	98
EC-22	536771	6515	543286	680414	528	542	122	87	357	167	181	590	603	252533	572	190	136	247	837	278130	719	137	93
LK-92	536771	6515	543286	680414	528	542	122	87	357	167	181	590	603	252533	572	190	136	247	837	278130	719	137	93
EC-17	524633	4500	529133	680877	372	548	76	58	288	86	104	324	469	238407	464	129	98	245	901	281161	685	113	105
LK-71	524633	4500	529133	680877	372	548	76	58	288	86	104	324	469	238407	464	129	98	245	901	281161	685	113	105
LK-4	520976	13454	534430	807687	1334	2183	473	246	1275	701	831	801	1972	394991	1395	622	401	912	1336	108831	1550	841	281
EC-08	515150	4891	520041	648213	384	356	107	82	294	129	133	352	448	212435	373	138	166	231	804	297823	662	140	93
LK-32	515150	4891	520041	648213	384	356	107	82	294	129	133	352	448	212435	373	138	166	231	804	297823	662	140	93
EC-19	507070	7871	514941	647628	670	1038	153	106	563	249	244	502	748	249524	723	261	170	383	1052	249243	1052	265	124
LK-81	507070	7871	514941	647628	670	1038	153	106	563	249	244	502	748	249524	723	261	170	383	1052	249243	1052	265	124
EC-06	426766	7329	434095	547766	462	1054	152	110	729	271	291	433	1191	272605	1068	349	202	434	889	145339	846	242	99
LK-23	426766	7329	434095	547766	462	1054	152	110	729	271	291	433	1191	272605	1068	349	202	434	889	145339	846	242	99
EC-16	403850	4300	408150	562984	380	437	81	43	270	107	117	306	406	202073	339	94	69	148	579	197751	491	85	74
LK-62	403850	4300	408150	562984	380	437	81	43	270	107	117	306	406	202073	339	94	69	148	579	197751	491	85	74
EC-09	386076	3351	389427	479433	322	376	83	57	242	97	85	267	307	138708	301	102	116	253	734	243295	565	105	61
LK-33	386076	3351	389427	479433	322	376	83	57	242	97	85	267	307	138708	301	102	116	253	734	243295	565	105	61
EC-13	357817	2625	360442	488067	187	356	55	36	197	88	69	234	543	233360	438	117	57	169	446	121027	307	92	39
LK-52	357817	2625	360442	488067	187	356	55	36	197	88	69	234	543	233360	438	117	57	169	446	121027	307	92	39
EC-10	340751	10038	350789	546265	978	1620	360	178	975	568	615	610	1398	253574	942	508	329	677	978	74454	1150	623	214
EC-05	309022	3653	312675	397005	306	392	87	57	285	119	97	251	394	145928	380	152	88	241	649	158880	500	135	81
LK-22	309022	3653	312675	397005	306	392	87	57	285	119	97	251	394	145928	380	152	88	241	649	158880	500	135	81
EC-20	281116	3449	284565	356146	214	275	51	28	210	65	43	240	223	105276	237	77	66	158	567	172745	508	90	43
LK-82	281116	3449	284565	356146	214	275	51	28	210	65	43	240	223	105276	237	77	66	158	567	172745	508	90	43
