entity_id	valid	rejected	polled	electors	TULF	EPDP	UNP	JVP	JSP	NLF	PA	RJP	SLPF	SLMK	SLMC	SU	SMBP	IND1	IND2	IND3	IND5	IND6	IND7	IND8	IND9	IND10	IND11	IND12	IND13	IND14	IND15	LP	ESMS	DUNF	MULF	SLNF	IND4	ELPP	USP	DPLF	INDP	DLF	Ind10	ULF	PFF	NDP	IND 3	SEP
LK	8955844	494009	9449878	12688452	348164	72783	4086026	815353	1624	45901	3330815	1089	854	802	105346	50665	1630	2263	1300	6161	1825	977	3275	195	14848	35	10	13	7	93	35	1152	2771	978	2644	719	7563	56	9455	16669	2900	6214	64	3851	1361	6952	163	243
LK-1	2607330	111705	2719035	3496127	12696	647	1238045	291845	267	9314	1008649	454	171	321		30178	1083	226	279	222	293	412	178										226		1693	191	250		4401			3322		1724				243
LK-3	1227043	58759	1285802	1632532			523170	175975	128	7329	509247		165			4861	129	351	163	322	811											173	383	292		112	197		1584			465		801	385			
LK-2	1128765	85925	1214690	1589897			639445	64289	437	7416	400369	90	59	96		4682	190	166	167	93	89	277										152	707		641	112	113		1262		223	373		365	352	6600		
LK-6	1077937	53089	1131026	1505405			529641	81747	192	5064	453756	88	61	89		4387		115	161	133	39	53	249									200	378	521	197	72	48							746				
EC-01	1058481	40901	1099382	1458130	12696	647	546417	117404	138	3457	353401	65	81	175		16970	490	77	102	43																71	78		1503			3322		1101				243
LK-11	1058481	40901	1099382	1458130	12696	647	546417	117404	138	3457	353401	65	81	175		16970	490	77	102	43																71	78		1503			3322		1101				243
EC-02	995230	38187	1033417	1306688			437289	113990		3488	428780	334	90	146		8105	389	100	107	136	194	317											226			67	113		736					623				
LK-12	995230	38187	1033417	1306688			437289	113990		3488	428780	334	90	146		8105	389	100	107	136	194	317											226			67	113		736					623				
LK-9	911218	53152	964370	1200476			435306	77088	85	7103	383695		105			3494	144	192	221	114	270											444	641			58	310		1556						392			
EC-15	787728	38451	826179	1073569			382768	63652	134	3194	332775	44	41	89		2842		60	112	80	39	53	249									200	148	412		42	48							746				
LK-61	787728	38451	826179	1073569			382768	63652	134	3194	332775	44	41	89		2842		60	112	80	39	53	249									200	148	412		42	48							746				
LK-5	620436	38929	659390	873035	191194	11524	144036	15716	408	2403	123948	86	139	296	101982	534	39	130	63	116	75	70	38	135	14848	35	10	13	7	93	35	99	100	56	113	11	6419			5601			64					
EC-04	595576	42103	637679	859326			314297	37146	253	3905	233637	62	48			4040	190	105	141	64	44	98											568		641	48	77								212			
LK-21	595576	42103	637679	859326			314297	37146	253	3905	233637	62	48			4040	190	105	141	64	44	98											568		641	48	77								212			
LK-8	561170	42264	603434	758622			281722	48807		1745	220248	276	93			1403		276	145	5101	231	112										84				132	137							215	91	352		
EC-03	553619	32617	586236	731309			254339	60451	129	2369	226468	55				5103	204	49	70	43	99	95	178												1693	53	59		2162									
LK-13	553619	32617	586236	731309			254339	60451	129	2369	226468	55				5103	204	49	70	43	99	95	178												1693	53	59		2162									
EC-07	541914	24561	566475	712472			238989	61806		2448	232931		47			2328		117	50	101	603											173	114	292		50	139		728			465		465	68			
LK-31	541914	24561	566475	712472			238989	61806		2448	232931		47			2328		117	50	101	603											173	114	292		50	139		728			465		465	68			
LK-7	540841	31650	572491	750850			251841	58961	107	4796	223072	69	61			824	45	102	84	29													336	109		31	70								141		163	
EC-21	489578	30483	520061	631754			227202	40377		4589	212794		57			1448		100	167	55	270											259	242			58	173		1556						231			
LK-91	489578	30483	520061	631754			227202	40377		4589	212794		57			1448		100	167	55	270											259	242			58	173		1556						231			
EC-22	421640	22669	444309	568722			208104	36711	85	2514	170901		48			2046	144	92	54	59												185	399				137								161			
LK-92	421640	22669	444309	568722			208104	36711	85	2514	170901		48			2046	144	92	54	59												185	399				137								161			
EC-08	403967	20820	424787	543934			171661	54476	128	2780	171141		58			1854	129	91	60	128	208												143				58		856						196			
LK-32	403967	20820	424787	543934			171661	54476	128	2780	171141		58			1854	129	91	60	128	208												143				58		856						196			
EC-19	373837	26626	400463	505304			201173	26820			138443	276	68			1044		105	91	5065	203															83	114									352		
LK-81	373837	26626	400463	505304			201173	26820			138443	276	68			1044		105	91	5065	203															83	114									352		
EC-17	359344	19796	379140	506629			165055	40005	107	3279	149393	48	45			625		66	50														336			31									141		163	
LK-71	359344	19796	379140	506629			165055	40005	107	3279	149393	48	45			625		66	50														336			31									141		163	
EC-06	315099	28373	343472	423371			215157	11080	117	1687	77733		11			642		61	26	29	45	179														24	36		1262			373			37	6600		
LK-23	315099	28373	343472	423371			215157	11080	117	1687	77733		11			642		61	26	29	45	179														24	36		1262			373			37	6600		
