entity_id	valid	rejected	polled	electors	IND01	IND02	IND03	IND04	DUNF	OWORS	IND05	IND06	USP	RJA	DNM	NMPP	FSP	JSWP	IND07	OPPP	IND08	IND09	NDF	JSP	NSSP	NSU	IND10	IND11	SLPP	NUA	SLLP	IND12	IND13	SPSL	IND14	SEP	IND15	ONF	NPP
LK	13252499	135452	13387951	15992568	7611	15285	3987	2903	34537	2139	3599	976	3944	11705	4218	418553	8219	25173	9467	2368	10219	13641	5564239	11879	1841	3380	12256	38814	6924255	9497	6447	2924	4636	27572	4146	3014	2067	7333	49655
LK-1	3623740	37931	3661671	4377375	1419	2436	726	492	3876	345	374	156	618	2220	697	143244	2168	7414	1384	327	1136	2338	1338805	2458	267	529	660	4902	2066503	2178	923	467	685	6690	556	662	269	996	24820
LK-2	1750960	19427	1770387	2082384	1092	3144	576	426	5064	320	280	138	635	2060	619	38320	784	3253	2002	394	2333	2317	829559	1981	340	559	620	3717	835146	1243	1195	478	707	3623	654	434	367	1323	5257
LK-3	1703600	12839	1716439	1997152	554	1133	476	296	1869	145	203	98	301	1593	539	76740	1423	3150	824	227	665	1147	475333	982	170	336	257	3144	1119433	1411	457	272	638	3597	319	367	181	616	4704
LK-6	1580586	13000	1593586	1930747	644	1140	377	244	3247	161	173	85	336	1297	368	49090	604	2840	699	233	795	1302	616317	1096	167	317	272	2704	883038	1162	576	264	445	3778	272	272	169	602	5500
EC-02	1443800	15751	1459551	1751892	584	971	292	209	1553	143	163	65	231	908	281	61760	840	3586	519	103	412	840	494671	928	87	190	211	1802	855870	847	323	182	267	2786	207	223	104	370	11272
LK-12	1443800	15751	1459551	1751892	584	971	292	209	1553	143	163	65	231	908	281	61760	840	3586	519	103	412	840	494671	928	87	190	211	1802	855870	847	323	182	267	2786	207	223	104	370	11272
EC-01	1368177	15333	1383510	1670403	468	725	221	141	1367	98	121	52	207	675	198	53803	589	2317	420	120	343	911	559921	974	105	167	335	1660	727713	741	327	149	165	2002	204	246	92	265	10335
LK-11	1368177	15333	1383510	1670403	468	725	221	141	1367	98	121	52	207	675	198	53803	589	2317	420	120	343	911	559921	974	105	167	335	1660	727713	741	327	149	165	2002	204	246	92	265	10335
LK-9	1323502	11005	1334507	1541419	701	1359	344	246	2258	147	163	99	324	1331	424	33930	900	2067	934	220	1065	1361	492535	1179	180	363	252	2534	768528	1060	601	257	474	2944	335	307	173	679	3228
EC-15	1126610	8522	1135132	1331705	425	743	258	179	2223	110	124	55	213	905	264	36178	366	1895	457	163	508	808	416961	719	116	220	169	1736	652278	835	387	176	292	2689	185	171	117	389	3296
LK-61	1126610	8522	1135132	1331705	425	743	258	179	2223	110	124	55	213	905	264	36178	366	1895	457	163	508	808	416961	719	116	220	169	1736	652278	835	387	176	292	2689	185	171	117	389	3296
LK-5	946201	9248	955449	1183205	566	1287	246	186	4483	195	216	65	349	597	284	13494	568	1474	855	221	1061	1877	665163	1211	166	285	1658	16387	227653	502	615	288	339	1551	584	148	163	630	834
EC-04	934875	9020	943895	1111860	572	1322	260	205	2109	139	120	74	264	895	274	23539	456	1639	797	165	815	991	417355	908	146	236	204	1733	471502	577	490	176	298	1824	266	181	147	577	3619
LK-21	934875	9020	943895	1111860	572	1322	260	205	2109	139	120	74	264	895	274	23539	456	1639	797	165	815	991	417355	908	146	236	204	1733	471502	577	490	176	298	1824	266	181	147	577	3619
LK-8	879949	9978	889927	1024290	609	1144	336	239	2222	181	173	73	344	1055	350	26041	684	2055	1030	224	1279	881	344245	841	138	277	269	2106	485025	725	605	291	467	2314	287	264	192	841	2142
LK-7	858270	7479	865749	1008893	370	586	216	166	2182	108	123	58	170	841	249	35163	692	1733	429	130	449	681	314821	606	100	216	128	1821	489563	717	294	179	244	2128	174	160	110	439	2224
EC-03	811763	6847	818610	955080	367	740	213	142	956	104	90	39	180	637	218	27681	739	1511	445	104	381	587	284213	556	75	172	114	1440	482920	590	273	136	253	1902	145	193	73	361	3213
LK-13	811763	6847	818610	955080	367	740	213	142	956	104	90	39	180	637	218	27681	739	1511	445	104	381	587	284213	556	75	172	114	1440	482920	590	273	136	253	1902	145	193	73	361	3213
EC-21	747671	5853	753524	864979	383	890	196	135	1332	69	87	44	175	809	239	18887	336	1279	570	128	570	797	264503	671	116	201	124	1556	448044	638	386	154	273	1662	208	191	90	411	1517
LK-91	747671	5853	753524	864979	383	890	196	135	1332	69	87	44	175	809	239	18887	336	1279	570	128	570	797	264503	671	116	201	124	1556	448044	638	386	154	273	1662	208	191	90	411	1517
EC-07	725358	5878	731236	858749	251	515	202	130	762	63	85	51	153	700	246	27006	879	1421	407	120	296	471	217401	408	87	155	110	1216	466148	592	189	121	288	1666	155	172	80	270	2542
LK-31	725358	5878	731236	858749	251	515	202	130	762	63	85	51	153	700	246	27006	879	1421	407	120	296	471	217401	408	87	155	110	1216	466148	592	189	121	288	1666	155	172	80	270	2542
LK-4	585691	14545	600236	847103	1656	3056	690	608	9336	537	1894	204	867	711	688	2531	396	1187	1310	392	1436	1737	487461	1525	313	498	8140	1499	49366	499	1181	428	637	947	965	400	443	1207	946
EC-17	580346	4916	585262	682450	262	409	168	126	1635	81	98	42	135	629	173	22879	266	1207	313	87	321	432	202348	427	73	150	83	1180	342223	475	207	121	179	1558	116	124	74	323	1422
LK-71	580346	4916	585262	682450	262	409	168	126	1635	81	98	42	135	629	173	22879	266	1207	313	87	321	432	202348	427	73	150	83	1180	342223	475	207	121	179	1558	116	124	74	323	1422
EC-22	575831	5152	580983	676440	318	469	148	111	926	78	76	55	149	522	185	15043	564	788	364	92	495	564	228032	508	64	162	128	978	320484	422	215	103	201	1282	127	116	83	268	1711
LK-92	575831	5152	580983	676440	318	469	148	111	926	78	76	55	149	522	185	15043	564	788	364	92	495	564	228032	508	64	162	128	978	320484	422	215	103	201	1282	127	116	83	268	1711
EC-19	560345	6978	567323	657766	473	928	248	172	1702	137	123	55	272	704	246	14806	395	1257	826	168	1098	680	251706	634	109	210	212	1357	276211	449	466	195	322	1397	218	199	159	656	1555
LK-81	560345	6978	567323	657766	473	928	248	172	1702	137	123	55	272	704	246	14806	395	1257	826	168	1098	680	251706	634	109	210	212	1357	276211	449	466	195	322	1397	218	199	159	656	1555
EC-08	556868	3782	560650	652417	187	375	134	95	538	43	64	29	99	508	164	23439	294	947	242	59	212	381	149026	339	42	103	80	1111	374481	463	160	85	166	1086	79	126	58	217	1436
LK-32	556868	3782	560650	652417	187	375	134	95	538	43	64	29	99	508	164	23439	294	947	242	59	212	381	149026	339	42	103	80	1111	374481	463	160	85	166	1086	79	126	58	217	1436
EC-06	476864	7155	484019	569028	350	1363	202	144	2130	129	108	47	281	743	248	5891	180	969	938	164	1217	966	277913	732	146	217	349	1260	175823	405	546	246	296	949	296	173	170	534	739
LK-23	476864	7155	484019	569028	350	1363	202	144	2130	129	108	47	281	743	248	5891	180	969	938	164	1217	966	277913	732	146	217	349	1260	175823	405	546	246	296	949	296	173	170	534	739
EC-16	453976	4478	458454	599042	219	397	119	65	1024	51	49	30	123	392	104	12912	238	945	242	70	287	494	199356	377	51	97	103	968	230760	327	189	88	153	1089	87	101	52	213	2204
LK-62	453976	4478	458454	599042	219	397	119	65	1024	51	49	30	123	392	104	12912	238	945	242	70	287	494	199356	377	51	97	103	968	230760	327	189	88	153	1089	87	101	52	213	2204
EC-09	421374	3179	424553	485986	116	243	140	71	569	39	54	18	49	385	129	26295	250	782	175	48	157	295	108906	235	41	78	67	817	278804	356	108	66	184	845	85	69	43	129	726
LK-33	421374	3179	424553	485986	116	243	140	71	569	39	54	18	49	385	129	26295	250	782	175	48	157	295	108906	235	41	78	67	817	278804	356	108	66	184	845	85	69	43	129	726
EC-13	411570	3158	414728	503790	173	427	75	56	1019	52	51	18	89	196	74	7460	219	517	267	60	328	544	259673	425	54	79	369	2214	135058	223	156	87	105	730	123	51	52	182	364
LK-52	411570	3158	414728	503790	173	427	75	56	1019	52	51	18	89	196	74	7460	219	517	267	60	328	544	259673	425	54	79	369	2214	135058	223	156	87	105	730	123	51	52	182	364
EC-10	372913	11251	384164	564984	1330	2471	541	478	6790	421	1635	159	683	532	523	1375	288	809	956	298	1039	1195	312722	1107	206	372	6845	1031	23261	359	928	335	491	660	744	325	357	917	730
EC-05	339221	3252	342473	401496	170	459	114	77	825	52	52	17	90	422	97	8890	148	645	267	65	301	360	134291	341	48	106	67	724	187821	261	159	56	113	850	92	80	50	212	899
LK-22	339221	3252	342473	401496	170	459	114	77	825	52	52	17	90	422	97	8890	148	645	267	65	301	360	134291	341	48	106	67	724	187821	261	159	56	113	850	92	80	50	212	899
EC-20	319604	3000	322604	366524	136	216	88	67	520	44	50	18	72	351	104	11235	289	798	204	56	181	201	92539	207	29	67	57	749	208814	276	139	96	145	917	69	65	33	185	587
LK-82	319604	3000	322604	366524	136	216	88	67	520	44	50	18	72	351	104	11235	289	798	204	56	181	201	92539	207	29	67	57	749	208814	276	139	96	145	917	69	65	33	185	587
EC-12	303221	4258	307479	398301	256	523	91	78	2363	103	114	20	161	263	129	2304	85	690	380	103	464	970	238649	512	73	136	800	13228	38460	163	317	144	147	480	327	52	63	302	271
LK-51	303221	4258	307479	398301	256	523	91	78	2363	103	114	20	161	263	129	2304	85	690	380	103	464	970	238649	512	73	136	800	13228	38460	163	317	144	147	480	327	52	63	302	271
LK-41	287891	8912	296803	456273	1098	2009	447	405	5628	337	1390	138	559	452	436	939	243	707	810	236	877	953	239176	894	167	313	5509	892	18460	286	796	283	353	555	649	256	287	738	613
