entity_id	result_ut	valid	rejected	polled	electors	PA	UNP	SMBP	Ind 1	Ind 2	SLPF
EC-01	757402260	860386	16060	876446	1259484	557708	288741	6059	3533	2526	1819
EC-01A	757396680	42608	947	43555	63528	26250	15924	118	103	138	75
EC-01B	757402260	90999	2020	93019	139012	56219	33824	245	291	271	149
EC-01C	757394280	34512	617	35129	52007	20837	13162	236	124	96	57
EC-01D	757394940	37415	843	38258	57049	23867	12806	373	182	115	72
EC-01E	757393560	23332	460	23792	36915	14329	8557	179	180	68	19
EC-01F	757394880	37470	614	38084	55301	23977	12783	326	195	111	78
EC-01G	757396260	41519	887	42406	59749	28666	12275	273	151	83	71
EC-01H	757400820	62498	1120	63618	90167	40296	21313	330	201	202	156
EC-01I	757398480	48945	762	49707	71213	31646	16331	521	232	118	97
EC-01J	757402020	76917	1445	78362	113173	51876	23475	599	521	241	205
EC-01K	757399980	55728	1313	57041	81213	31132	23126	787	230	290	163
EC-01L	757401420	68619	1102	69721	106536	45072	22369	444	284	279	171
EC-01M	757401480	68521	1328	69849	101317	47818	19514	638	240	158	153
EC-01N	757402080	77578	1159	78737	110948	54327	22130	464	268	210	179
EC-01O	757401840	70655	988	71643	97831	45403	24493	280	234	127	118
EC-01P	757393500	23070	455	23525	23525	15993	6659	246	97	19	56
EC-02	757401960	850518	13137	863655	1164625	550654	288608	3694	2711	3019	1832
EC-02A	757400760	61720	922	62642	85516	37373	23671	183	214	180	99
EC-02B	757399440	54348	761	55109	80589	31648	22131	133	172	184	80
EC-02C	757401360	68303	864	69167	92027	42916	24637	184	187	251	128
EC-02D	757400400	59637	832	60469	77104	35220	23749	169	149	235	115
EC-02E	757401060	63821	1446	65267	89455	40288	22585	270	208	248	222
EC-02F	757401240	65785	892	66677	89192	42041	22839	299	233	252	121
EC-02G	757401780	70511	1065	71576	91907	51923	17437	374	206	396	175
EC-02H	757401960	72302	958	73260	100416	51197	20094	403	246	215	147
EC-02I	757401600	69230	1141	70371	97305	44166	24260	266	236	152	150
EC-02J	757401660	69414	1064	70478	98091	46494	21935	311	235	251	188
EC-02K	757400460	59850	867	60717	80415	39151	19920	228	152	283	116
EC-02L	757400040	57040	930	57970	80600	36459	19678	340	235	201	127
EC-02M	757399680	55215	920	56135	78191	35601	18825	344	187	151	107
EC-02P	757393620	23342	475	23817	23817	16177	6847	190	51	20	57
EC-03	757401120	481019	7309	488328	660191	295686	178466	1868	1398	2213	1388
EC-03A	757400940	63848	922	64770	89554	42951	20032	340	198	166	161
EC-03B	757401120	65100	929	66029	86676	40503	23655	263	187	315	177
EC-03C	757400340	58922	932	59854	77877	36064	21886	262	212	351	147
EC-03D	757398180	47895	772	48667	63131	27072	20094	172	131	281	145
EC-03E	757399800	55250	1045	56295	80135	33726	20667	202	168	286	201
EC-03F	757400580	60493	929	61422	86437	37490	22209	226	170	237	161
EC-03G	757400520	60500	660	61160	83849	36364	23487	115	135	246	153
EC-03H	757399740	55246	893	56139	78540	32467	21903	190	163	322	201
EC-03P	757393140	13765	227	13992	13992	9049	4533	98	34	9	42
EC-04	757402200	565117	14179	579296	744151	320110	235519	2618	1752	3748	1370
EC-04A	757394100	32625	517	33142	43462	17288	14862	118	95	201	61
EC-04B	757402200	82473	1809	84282	109246	48134	33007	303	228	582	219
EC-04C	757397220	43877	1652	45529	57482	23082	19995	175	167	349	109
EC-04D	757394580	35435	892	36327	42700	22944	11906	86	96	277	126
EC-04E	757393740	25556	625	26181	32992	14309	10742	92	90	238	85
EC-04F	757396860	43140	1081	44221	56925	24150	18243	238	122	285	102
EC-04G	757395240	37997	921	38918	50376	19303	18076	107	119	318	74
EC-04H	757395840	40167	912	41079	55740	22323	17152	335	123	172	62
EC-04I	757393680	23291	583	23874	32335	12339	10477	258	78	98	41
EC-04J	757396920	43399	934	44333	58455	25099	17621	220	103	226	130
EC-04K	757396560	42399	945	43344	56671	24199	17442	215	155	287	101
EC-04L	757398720	50067	1524	51591	66812	29558	19692	193	169	350	105
EC-04M	757398060	47007	1509	48516	62996	26785	19423	176	169	344	110
EC-04P	757393320	17684	275	17959	17959	10597	6881	102	38	21	45
EC-05	757400880	199164	5317	204481	265743	121449	73324	992	608	2111	680
EC-05A	757400880	62906	1458	64364	85870	37869	23746	273	187	602	229
EC-05B	757395780	40011	897	40908	48525	26092	13013	137	119	507	143
EC-05C	757396620	42170	1253	43423	58638	25234	16006	288	126	379	137
EC-05D	757398300	47678	1636	49314	66238	28300	18187	250	169	618	154
EC-05P	757392600	6399	73	6472	6472	3954	2372	44	7	5	17
EC-06	757402320	295630	11840	307470	393221	168929	116928	1332	1083	6314	1044
EC-06A	757402320	155091	7412	162503	212690	94262	53949	775	590	4897	618
EC-06B	757396980	42716	1651	44367	56977	22034	19708	137	140	555	142
EC-06C	757397040	43287	1202	44489	54001	22917	19609	162	153	350	96
EC-06D	757398420	48078	1480	49558	63000	26020	20955	226	190	509	178
EC-06P	757392660	6458	95	6553	6553	3696	2707	32	10	3	10
EC-07	757400220	464815	7112	471927	646373	285398	173282	1584	1179	1885	1487
EC-07A	757393920	29714	375	30089	43988	17307	12087	59	83	108	70
EC-07B	757395480	39513	514	40027	56041	25258	13735	140	101	163	116
EC-07C	757394400	35029	583	35612	53066	22470	11934	127	81	244	173
EC-07D	757398840	51600	773	52373	71765	32213	18747	160	124	224	132
EC-07E	757400220	58038	1059	59097	74337	34003	23216	157	172	282	208
EC-07F	757399860	55479	952	56431	74331	33932	20785	174	131	272	185
EC-07G	757397820	46563	660	47223	66221	28618	17406	138	81	164	156
EC-07H	757396200	41338	615	41953	62011	23587	17258	185	127	83	98
EC-07I	757397940	47360	672	48032	64320	29135	17679	190	117	111	128
EC-07J	757397760	46483	656	47139	66342	29689	16115	172	129	220	158
EC-07P	757393080	13698	253	13951	13951	9186	4320	82	33	14	63
EC-08	757399020	352239	5731	357970	511933	227865	118224	1564	1134	2055	1397
EC-08A	757398780	50765	1293	52058	71106	30662	18819	316	213	465	290
EC-08B	757398240	48246	828	49074	70889	29756	17473	240	163	407	207
EC-08C	757398960	51655	903	52558	74562	32632	18165	175	145	327	211
EC-08D	757397580	45984	655	46639	69050	31038	14133	213	128	305	167
EC-08E	757397700	46377	624	47001	66923	30817	14824	185	169	185	197
EC-08F	757398360	48872	648	49520	73461	32503	15751	205	138	152	123
EC-08G	757399020	51982	675	52657	77479	34583	16708	173	145	201	172
EC-08P	757392780	8358	105	8463	8463	5874	2351	57	33	13	30
EC-09	757401300	215995	4013	220008	333054	132873	77735	1538	750	1414	1685
EC-09A	757397640	45909	1010	46919	73236	26535	17983	389	194	419	389
EC-09B	757396800	43502	652	44154	66091	26335	16150	294	165	273	285
EC-09C	757399320	53405	789	54194	80917	33442	18680	332	170	319	462
EC-09D	757401300	67168	1432	68600	106669	42523	23102	478	197	390	478
EC-09P	757392540	6011	130	6141	6141	4038	1820	45	24	13	71
EC-10	757393200	17575	141	17716	596422	16934	223	36	16	341	25
EC-10A	757393200	15193	120	15313	49504	14761	83	27	14	291	17
EC-10B	757392000	584	4	588	58949	539	6	6	0	31	2
EC-10C	757391880	127	0	127	60417	116	6	1	1	3	0
EC-10D	757391580	18	0	18	58382	18	0	0	0	0	0
EC-10E	757391520	12	0	12	56496	11	1	0	0	0	0
EC-10F	757391700	26	0	26	52153	24	2	0	0	0	0
EC-10G	757391460	8	0	8	40336	8	0	0	0	0	0
EC-10H	757391820	70	3	73	51717	63	6	0	0	1	0
EC-10I	757391640	23	0	23	62372	21	2	0	0	0	0
EC-10J	757392120	1272	7	1279	50045	1143	108	1	1	15	4
EC-10K	757391940	186	7	193	55995	174	9	1	0	0	2
EC-10P	757391760	56	0	56	56	56	0	0	0	0	0
EC-11	757393440	39372	681	40053	179858	33585	4493	96	77	1003	118
EC-11A	757393260	16149	199	16348	54066	14607	981	24	12	490	35
EC-11B	757393440	20595	444	21039	72434	16861	3026	68	63	499	78
EC-11C	757392180	1478	27	1505	52197	1128	330	3	0	13	4
EC-11P	757392060	1150	11	1161	1161	989	156	1	2	1	1
EC-12	757401900	165779	2664	168443	264975	144725	14812	349	381	5030	484
EC-12A	757398120	47841	730	48571	73640	41821	3930	99	77	1731	183
EC-12B	757401900	71887	1061	72948	123893	59814	9812	145	239	1685	194
EC-12C	757396740	42999	848	43847	64365	40489	631	102	59	1611	107
EC-12P	757392240	3052	25	3077	3077	2601	439	3	6	3	0
EC-13	757402140	232581	3621	236202	319166	168289	59074	471	496	3677	574
EC-13A	757402140	80608	1751	82359	112046	44423	34832	236	231	640	246
EC-13B	757395060	38082	480	38562	51991	30890	6056	50	89	918	79
EC-13C	757394760	36510	352	36862	50248	31511	4092	58	70	701	78
EC-13D	757401720	70310	949	71259	97721	56780	11774	114	88	1407	147
EC-13P	757392720	7071	89	7160	7160	4685	2320	13	18	11	24
EC-14	757395180	108821	1726	110547	188017	77943	28006	279	195	2074	324
EC-14A	757394160	33018	640	33658	54632	20621	11726	85	60	415	111
