entity_id	valid	rejected	polled	electors	IND1	EPRLF	SLMC	IND2	PA	TULF	UNP	DPLF	IND3	NSSP	TELO	IND4	SLPF	IND5	MEP	SMBP	PFF	IND 1	DWC	TKLO
LK	7943688	400395	8344095	11163064	48199	9411	143307	16690	3887805	132461	3498370	11567	343	2094	24974	6592	90078	207	68538	267	813	270	589	1113
LK-1	2323581	95585	2419166	3089948	9251				1250426		981846			2050			29319		48648		339		589	1113
LK-3	1119060	51469	1170529	1489473	997			468	637249		440674						31284		7647	267	474			
LK-2	1084432	65257	1149689	1403683	29102			208	468021		577423						5433		3975			270		
LK-6	987990	43215	1031223	1283270					517443		460218						6605		3724					
EC-01	921933	36635	958568	1260686	9251				469642		385100			2050			11454		42734				589	1113
LK-11	921933	36635	958568	1260686	9251				469642		385100			2050			11454		42734				589	1113
EC-02	896288	33553	929841	1167469					509030		375631						11627							
LK-12	896288	33553	929841	1167469					509030		375631						11627							
LK-9	858295	40654	898943	1078019	1555			127	424376		424688		202				5713		1634					
EC-15	707279	30071	737350	897580					366856		332547						4990		2886					
LK-61	707279	30071	737350	897580					366856		332547						4990		2886					
EC-04	576552	31019	607571	743939				208	267683		301824						3072		3495			270		
LK-21	576552	31019	607571	743939				208	267683		301824						3072		3495			270		
LK-5	534796	34949	569745	771954	5521	5683	133067	556	97314	129422	136997				24974		1262							
EC-03	505360	25397	530757	661793					271754		221115						6238		5914		339			
LK-13	505360	25397	530757	661793					271754		221115						6238		5914		339			
EC-07	492914	20763	513677	645559					277956		203268						7239		4145		306			
LK-31	492914	20763	513677	645559					277956		203268						7239		4145		306			
LK-8	491722	44845	536567	647810	775			2707	224501		249884		64			6592	5451	207	1541					
LK-7	488062	21054	509116	623097					262892		218790						5011		1369					
EC-21	460285	23611	483890	564194	1555			127	233687		220750		202				2330		1634					
LK-91	460285	23611	483890	564194	1555			127	233687		220750		202				2330		1634					
EC-22	398010	17043	415053	513825					190689		203938						3383							
LK-92	398010	17043	415053	513825					190689		203938						3383							
EC-08	379467	17167	396634	511109					227285		142024						8736		1422					
LK-32	379467	17167	396634	511109					227285		142024						8736		1422					
EC-19	337059	28540	365599	444632	685			2601	146546		182131						3555		1541					
LK-81	337059	28540	365599	444632	685			2601	146546		182131						3555		1541					
EC-17	326984	14620	341604	418959					180454		142084						3077		1369					
LK-71	326984	14620	341604	418959					180454		142084						3077		1369					
EC-06	301918	21592	323510	392770	27374				97658		175478						928		480					
LK-23	301918	21592	323510	392770	27374				97658		175478						928		480					
EC-16	280711	13144	293873	385690					150587		127671						1615		838					
LK-62	280711	13144	293873	385690					150587		127671						1615		838					
EC-09	246679	13539	260218	332805	997			468	132008		95382						15309		2080	267	168			
LK-33	246679	13539	260218	332805	997			468	132008		95382						15309		2080	267	168			
EC-13	240766	12736	253502	318710	3366		75092		54150	24526	78767				4192		673							
LK-52	240766	12736	253502	318710	3366		75092		54150	24526	78767				4192		673							
EC-05	205962	12646	218608	266974	1728				102680		100121						1433							
LK-22	205962	12646	218608	266974	1728				102680		100121						1433							
EC-12	174088	15531	189619	265253	1547	4802	31072	556	19278	76516	23244				17073									
LK-51	174088	15531	189619	265253	1547	4802	31072	556	19278	76516	23244				17073									
EC-18	161078	6434	167512	204138					82438		76706						1934							
LK-72	161078	6434	167512	204138					82438		76706						1934							
