entity_id	valid	rejected	polled	electors	UNP	PA	JVP	Ind 2	Liberal	Ind 1	SMBP	LDA	PLSF	SLMP	Ind 3	DUNF	PFF
LK	8435754	199536	8635290	11965536	3602748	4312157	343927	27052	25085	21119	35854	23668	11333	17359	7184	4042	3983
LK-1	2437962	61761	2499723	3296745	996577	1288323	108251	4093	3569	4052	15683	8105	2269	4130	1161	931	818
LK-3	1144335	23674	1168009	1554181	430671	607114	87225	2969	2633	2550	3864	2105	1627	1636	881	527	533
LK-2	1143111	32228	1175339	1506250	521140	566629	29315	4424	4041	3232	5203	2185	1647	2787	1313	580	615
LK-6	1018858	21050	1039908	1408955	447942	519208	35230	2630	2259	2260	3318	1456	1180	1836	742	402	395
EC-01	964534	29197	993731	1354025	425185	474310	44009	1319	1376	1370	8209	5000	783	1980	355	329	309
LK-11	964534	29197	993731	1354025	425185	474310	44009	1319	1376	1370	8209	5000	783	1980	355	329	309
EC-02	941619	20768	962387	1247860	353969	532796	40472	1495	1165	1549	4753	2102	878	1354	420	386	280
LK-12	941619	20768	962387	1247860	353969	532796	40472	1495	1165	1549	4753	2102	878	1354	420	386	280
LK-9	890044	17174	907218	1148210	378997	460594	31479	3073	2896	2609	3122	2710	1208	1571	906	416	463
EC-15	743519	15272	758791	1000624	326327	377483	27354	1889	1660	1671	2704	1011	872	1355	578	314	301
LK-61	743519	15272	758791	1000624	326327	377483	27354	1889	1660	1671	2704	1011	872	1355	578	314	301
EC-04	612811	17060	629871	811606	276360	308187	15512	1775	1614	1369	3280	1065	749	1706	639	265	290
LK-21	612811	17060	629871	811606	276360	308187	15512	1775	1614	1369	3280	1065	749	1706	639	265	290
LK-5	565312	10938	576250	826293	277256	265259	6419	3538	3744	2084	812	1833	1095	2012	533	243	238
LK-8	540666	15140	555806	709862	246579	259049	22481	2315	2512	1912	1658	877	890	1130	640	329	294
EC-03	531809	11796	543605	694860	217423	281217	23770	1279	1028	1133	2721	1003	608	796	386	216	229
LK-13	531809	11796	543605	694860	217423	281217	23770	1279	1028	1133	2721	1003	608	796	386	216	229
LK-7	521208	10100	531308	695146	211778	277736	22632	1717	1607	1355	1283	559	847	910	387	231	166
EC-07	512019	9716	521735	673785	195906	281154	27257	1227	907	968	1592	952	663	651	357	175	210
LK-31	512019	9716	521735	673785	195906	281154	27257	1227	907	968	1592	952	663	651	357	175	210
EC-21	480364	9038	489402	602172	202621	250409	16482	1811	1687	1475	1392	2007	727	757	490	247	259
LK-91	480364	9038	489402	602172	202621	250409	16482	1811	1687	1475	1392	2007	727	757	490	247	259
EC-22	409680	8136	417816	546038	176376	210185	14997	1262	1209	1134	1730	703	481	814	416	169	204
LK-92	409680	8136	417816	546038	176376	210185	14997	1262	1209	1134	1730	703	481	814	416	169	204
EC-08	378638	8583	387221	524002	139677	205685	26229	1042	997	891	1539	670	543	639	332	192	202
LK-32	378638	8583	387221	524002	139677	205685	26229	1042	997	891	1539	670	543	639	332	192	202
EC-19	360421	10979	371400	474610	172884	167000	12025	1499	1652	1234	1177	589	554	915	495	203	194
LK-81	360421	10979	371400	474610	172884	167000	12025	1499	1652	1234	1177	589	554	915	495	203	194
EC-17	349201	6949	356150	470907	139180	189073	14612	1176	1065	963	902	394	600	670	271	166	129
LK-71	349201	6949	356150	470907	139180	189073	14612	1176	1065	963	902	394	600	670	271	166	129
EC-06	313990	8997	322987	402589	152836	147210	5879	1698	1567	1116	1021	812	555	531	413	176	176
LK-23	313990	8997	322987	402589	152836	147210	5879	1698	1567	1116	1021	812	555	531	413	176	176
EC-16	275339	5778	281117	408331	121615	141725	7876	741	599	589	614	445	308	481	164	88	94
LK-62	275339	5778	281117	408331	121615	141725	7876	741	599	589	614	445	308	481	164	88	94
EC-13	269100	4549	273649	348712	109805	149593	3822	1275	1193	823	344	473	519	663	171	93	80
LK-52	269100	4549	273649	348712	109805	149593	3822	1275	1193	823	344	473	519	663	171	93	80
EC-09	253678	5375	259053	356394	95088	120275	33739	700	729	691	733	483	421	346	192	160	121
LK-33	253678	5375	259053	356394	95088	120275	33739	700	729	691	733	483	421	346	192	160	121
EC-05	216310	6171	222481	292055	91944	111232	7924	951	860	747	902	308	343	550	261	139	149
LK-22	216310	6171	222481	292055	91944	111232	7924	951	860	747	902	308	343	550	261	139	149
EC-20	180245	4161	184406	235252	73695	92049	10456	816	860	678	481	288	336	215	145	126	100
LK-82	180245	4161	184406	235252	73695	92049	10456	816	860	678	481	288	336	215	145	126	100
LK-4	174258	7471	181729	819894	91808	68245	895	2293	1824	1065	911	3838	570	1347	621	383	461
EC-18	172007	3151	175158	224239	72598	88663	8020	541	542	392	381	165	247	240	116	65	37
LK-72	172007	3151	175158	224239	72598	88663	8020	541	542	392	381	165	247	240	116	65	37
EC-12	170131	3747	173878	272465	104100	58975	290	1528	1838	784	250	884	331	750	234	78	89
LK-51	170131	3747	173878	272465	104100	58975	290	1528	1838	784	250	884	331	750	234	78	89
EC-06A	165097	4885	169982	216038	87653	70497	1897	1128	1074	672	591	489	326	322	244	102	102
LK-1103	151703.0	4014.0	155720.0	221440.0	91947.0	53530.0	3238.0	273.0	235.0	193.0	385.0	832.0	130.0	793.0	80.0	38.0	35.0
EC-14	126081	2642	128723	205116	63351	56691	2307	735	713	477	218	476	245	599	128	72	69
LK-53	126081	2642	128723	205116	63351	56691	2307	735	713	477	218	476	245	599	128	72	69
EC-10	111568	5981	117549	613718	48005	52043	413	1873	1368	831	818	3394	487	1041	552	343	403
LK-41	108723	5745	114468	555978	46573	51108	407	1846	1346	820	803	3056	483	1005	545	335	399
LK-1127	106282.0	3340.0	109624.0	160630.0	57964.0	42129.0	3181.0	133.0	245.0	137.0	894.0	1105.0	73.0	320.0	49.0	27.0	27.0
EC-01B	98535	2605	101140	143993	59234	35416	1955	178	137	104	272	424	82	630	53	26	24
EC-13A	93446	1538	94984	121407	39712	48385	3275	497	496	364	206	93	172	94	79	36	37
EC-01J	91490	2530	94020	126119	32951	50535	6170	102	101	112	916	338	79	91	32	34	29
LK-1109	91490.0	2531.0	94024.0	126122.0	32951.0	50537.0	6172.0	104.0	102.0	108.0	916.0	336.0	82.0	95.0	33.0	36.0	27.0
LK-1136	89626.0	2972.0	92592.0	121839.0	31299.0	51239.0	5238.0	107.0	103.0	137.0	942.0	347.0	70.0	73.0	3.0	25.0	14.0
EC-01N	89623	2967	92590	121836	31302	51240	5236	105	101	134	940	346	70	71	20	32	26
EC-04B	87198	2720	89918	120150	41640	40996	2782	244	230	165	384	110	91	359	114	40	43
LK-1112	84126.0	2384.0	86507.0	116575.0	30861.0	46823.0	4878.0	140.0	102.0	136.0	666.0	265.0	73.0	95.0	17.0	19.0	24.0
EC-01L	84123	2383	86506	116577	30859	46823	4878	140	102	129	662	267	69	91	32	34	37
LK-2312	83803.0	2482.0	86289.0	109667.0	44493.0	35781.0	962.0	576.0	547.0	337.0	302.0	251.0	167.0	163.0	124.0	55.0	55.0
EC-02H	83682	1780	85462	111814	26257	51606	4433	114	90	130	626	198	77	63	39	26	23
LK-1224	83680.0	1779.0	85461.0	111812.0	26254.0	51607.0	4432.0	115.0	97.0	128.0	623.0	201.0	83.0	69.0	24.0	2.0	1.0
EC-13D	82916	1360	84276	110386	34407	46341	427	437	339	231	76	116	162	284	34	40	22
EC-09D	82255	1675	83930	114717	30983	39021	10865	180	229	249	202	121	130	134	61	45	35
LK-2315	81290.0	2407.0	83696.0	106370.0	43156.0	34711.0	935.0	554.0	529.0	333.0	286.0	241.0	164.0	163.0	122.0	44.0	44.0
EC-12B	81098	1750	82848	124480	48700	29523	159	550	687	269	100	406	148	394	89	32	41
LK-1233	79579.0	1809.0	81384.0	107698.0	27768.0	46708.0	3940.0	124.0	105.0	115.0	399.0	169.0	64.0	99.0	13.0	13.0	8.0
EC-02J	79574	1809	81383	107701	27771	46703	3941	122	103	113	402	171	62	99	30	30	27
EC-01O	79327	2006	81333	105483	33017	41380	3692	96	72	127	431	288	70	76	20	38	20
LK-1133	79326.0	2006.0	81333.0	105480.0	33020.0	41382.0	3691.0	98.0	74.0	128.0	429.0	291.0	67.0	77.0	15.0	41.0	15.0
EC-02I	77852	1759	79611	104076	29726	44098	3089	82	72	112	236	224	57	82	27	21	26
LK-1221	77852.0	1759.0	79611.0	104073.0	29728.0	44099.0	3086.0	82.0	68.0	111.0	236.0	221.0	60.0	82.0	23.0	8.0	20.0
EC-02G	77828	1933	79761	101470	21709	51204	3608	133	95	143	411	125	77	212	45	52	14
LK-1227	77820.0	1943.0	79758.0	101467.0	21704.0	51201.0	3603.0	149.0	93.0	152.0	412.0	141.0	64.0	221.0	15.0	17.0	0.0
LK-1121	77082.0	2871.0	79958.0	108621.0	27335.0	43578.0	4166.0	99.0	84.0	116.0	1117.0	340.0	69.0	76.0	33.0	27.0	33.0
EC-01M	77081	2876	79957	108622	27338	43584	4168	98	82	117	1119	340	68	78	31	25	33
EC-21H	76559	1676	78235	100436	29473	39343	5942	344	331	305	195	220	133	101	75	52	45
EC-20C	76301	1503	77804	98437	31534	37950	5279	305	307	248	176	126	148	99	49	41	39
EC-18C	76249	1473	77722	98929	32472	39372	3165	257	269	189	146	65	92	125	55	26	16
LK-1206	76238.0	1546.0	77782.0	100353.0	27387.0	45611.0	2226.0	124.0	94.0	150.0	261.0	167.0	82.0	88.0	10.0	4.0	7.0
EC-02C	76235	1545	77780	100352	27389	45607	2224	125	92	148	261	171	71	82	25	19	21
EC-02F	75491	1514	77005	98927	28328	42314	3658	134	102	125	450	106	94	98	29	33	20
LK-1215	75491.0	1514.0	77007.0	98928.0	28328.0	42318.0	3657.0	135.0	116.0	128.0	447.0	119.0	113.0	115.0	1.0	3.0	0.0
EC-03B	73354	1467	74821	93107	28430	40384	3262	171	139	154	384	154	90	78	37	31	40
EC-02E	72025	1619	73644	96907	28456	38075	4213	150	106	116	415	112	82	198	50	31	21
LK-1212	72021.0	1623.0	73646.0	96907.0	28460.0	38079.0	4215.0	158.0	117.0	131.0	410.0	126.0	76.0	200.0	20.0	2.0	0.0
EC-05A	71768	1876	73644	97348	30850	35811	3496	323	270	214	233	91	132	169	76	46	57
EC-21B	71215	1267	72482	89518	29298	38665	1914	245	176	156	230	202	106	115	45	32	31
LK-9112	71212.0	1268.0	72482.0	89519.0	29297.0	38666.0	1915.0	245.0	173.0	153.0	232.0	201.0	106.0	116.0	45.0	33.0	31.0
EC-01H	70133	1819	71952	96164	28681	36907	3385	97	93	113	468	188	42	107	23	16	13
LK-1106	70131.0	1817.0	71951.0	96165.0	28679.0	36907.0	3382.0	96.0	93.0	109.0	467.0	188.0	46.0	105.0	17.0	6.0	4.0
EC-17E	69765	1503	71268	90631	23388	42154	2845	248	227	242	187	119	138	89	63	36	29
EC-03A	69073	2014	71087	91768	24976	39081	3647	90	81	96	596	242	60	144	19	25	16
