entity_id	valid	rejected	polled	electors	SLMC	ITAK	UNP	UPFA	RJP	IP1D	UMPA	EPDP	SMBP	NLF	IP6D	IP5D	JHU	IP2D	IP4D	IP3D	USP	S	DPLF	IP9D	IP7D	IP8D	SLPF	JSP	SLNF	ULF	;P7D	SLMK	UPF	CDUA	TLP	IP1-ED	IP2-ED	IP3-ED	IP4-ED	NPP	DUNF	;P4D	SEP
LK	9241931	534452	9777821	13186395	186880	633203	3486792	4223126	589	6121	3779	24942	1391	8452	1149	864	552723	673	494	754	14330	1139	7038	1192	2090	792	814	14956	493	3773	20	382	49728	10736	413	45	38	72	95	1540	141	13	159
LK-1	2610621	110808	2721795	3592979			1022134	1215859	104	276	1278	539	485	3529	115	77	349749	106	120	196	4178	633		393	792	250	138	7042	101	711		170			73					1273	141		159
LK-3	1221054	70873	1291927	1691052			447909	726515	38	214			212	844	163	128	39055	85	42	103	2221	85		164	303	203	46	1672	76	926					50								
LK-2	1175537	89446	1265013	1670013			591472	459335	118	70	548		154	797	306	83	55465	35	39	93	2885	136		233	178	129	39	1912	94	147		73	49728	10736	215	45	38	72	95	267			
LK-6	1082948	61692	1145102	1581256			475920	554941	29	40	779		81	518	37	59	47459	47	29	46	397	62		81	20	44	46	1843	59	283	20	54			54								
EC-01	1057860	38605	1096571	1484508			441841	414688	30	155	858	539	203	2037	40	36	190618	46	43	34	894	404		32	683	67	71	2420	42	550		97								1273			159
LK-11	1057860	38605	1096571	1484508			441841	414688	30	155	858	539	203	2037	40	36	190618	46	43	34	894	404		32	683	67	71	2420	42	550		97								1273			159
EC-02	989742	41462	1031464	1348497			367572	509963	42	65			203	932	34	17	102516	25	48	143	2852	129		149	66	43	40	4622	28			73			73						107		
LK-12	989742	41462	1031464	1348497			367572	509963	42	65			203	932	34	17	102516	25	48	143	2852	129		149	66	43	40	4622	28			73			73						107		
LK-9	913137	54031	967165	1241408			392131	475717	52	69	356		136	1643	213	159	38835	57	24	68	1136	52		87	333	35	51	1073	53	738		85			21							13	
EC-15	793360	40261	833908	1124479			340768	412157	17	24	550		64	349	11	53	37459	17	23	36	265	25		70	20	34	28	1058	48	191		39			54								
LK-61	793360	40261	833908	1124479			340768	412157	17	24	550		64	349	11	53	37459	17	23	36	265	25		70	20	34	28	1058	48	191		39			54								
LK-5	714134	39775	754441	931656	184885	285631	63965	169068	111	164	818	4707	150	256	112	114	1938	85	67	104	175		1010	4	40	110	427	98	49	46													
EC-04	627866	45484	673380	905133			313859	268131	24	37	548		81	501	43	35	42192	16	26	29	324	103		233	178	129	20	1109	48	147		53											
LK-21	627866	45484	673380	905133			313859	268131	24	37	548		81	501	43	35	42192	16	26	29	324	103		233	178	129	20	1109	48	147		53											
EC-03	563019	30741	593760	759974			212721	291208	32	56	420		79	560	41	24	56615	35	29	19	432	100		212	43	140	27		31	161											34		
LK-13	563019	30741	593760	759974			212721	291208	32	56	420		79	560	41	24	56615	35	29	19	432	100		212	43	140	27		31	161											34		
LK-8	562291	42975	605266	796885			252772	296090	44	62			75	324	180	57	9607	54	58	39	723	47			416		34	768	19	922													
LK-7	557335	33954	591340	795884			224276	319186	21	46			41	218	5	130	10447	37	108	58	2066	51		13	4	5	33	548	42														
EC-07	541511	30380	571891	734713			209399	306385	38	121			74	457	25	32	22826	19	13	44	456	28		164	32	64	13	626	21	674													
LK-31	541511	30380	571891	734713			209399	306385	38	121			74	457	25	32	22826	19	13	44	456	28		164	32	64	13	626	21	674													
EC-21	492003	28346	520349	655498			205490	261450	32	40			51	1336	199	112	20801	41	22	43	649	49			307		31	585	27	738													
LK-91	492003	28346	520349	655498			205490	261450	32	40			51	1336	199	112	20801	41	22	43	649	49			307		31	585	27	738													
EC-22	421134	25685	446816	585910			186641	214267	20	29	356		85	307	14	47	18034	16	2	25	487	3		87	26	35	20	488	26			85			21							13	
LK-92	421134	25685	446816	585910			186641	214267	20	29	356		85	307	14	47	18034	16	2	25	487	3		87	26	35	20	488	26			85			21							13	
LK-4	404874	30898	435772	885262	1995	347572	16213	6415	72	5180		19696	57	323	18	57	168	167	7	47	549	73	6028	217	4	16																	
EC-08	400233	22769	423002	563390			139633	241235		52			33	192	117	34	16229	34	23	36	1526	26			245		21	718	29						50								
LK-32	400233	22769	423002	563390			139633	241235		52			33	192	117	34	16229	34	23	36	1526	26			245		21	718	29						50								
EC-17	372125	21281	393406	535444			148612	212943	15	33			28	177		126	8034	26	100	49	1439	51					33	432	27														
LK-71	372125	21281	393406	535444			148612	212943	15	33			28	177		126	8034	26	100	49	1439	51					33	432	27														
